,precision,recall,f1-score,support
Faixa 0,0.9585253456221198,0.9440242057488654,0.9512195121951219,1322.0
Faixa 1,0.45454545454545453,0.4368932038834951,0.44554455445544555,103.0
Faixa 2,0.25,0.3333333333333333,0.2857142857142857,45.0
Faixa 3,0.0,0.0,0.0,6.0
accuracy,0.8861788617886179,0.8861788617886179,0.8861788617886179,0.8861788617886179
macro avg,0.41576770004189356,0.4285626857414234,0.42061958809121325,1476.0
weighted avg,0.8978581901968997,0.8861788617886179,0.8917753571056943,1476.0
