,precision,recall,f1-score,support
Faixa 0,0.9783588818755635,0.8207261724659607,0.8926367749897162,1322.0
Faixa 1,0.3708609271523179,0.5436893203883495,0.4409448818897638,103.0
Faixa 2,0.13725490196078433,0.3111111111111111,0.19047619047619047,45.0
Faixa 3,0.008771929824561403,0.16666666666666666,0.016666666666666666,6.0
accuracy,0.7831978319783198,0.7831978319783198,0.7831978319783198,0.7831978319783198
macro avg,0.37381166020330675,0.460548317658022,0.3851811285055842,1476.0
weighted avg,0.906380907522606,0.7831978319783198,0.8361480812618421,1476.0
