,precision,recall,f1-score,support
Faixa 0,0.9565667011375388,0.699697428139183,0.8082131935342944,1322.0
Faixa 1,0.21768707482993196,0.3106796116504854,0.256,103.0
Faixa 2,0.11627906976744186,0.1111111111111111,0.11363636363636363,45.0
Faixa 3,0.009404388714733543,0.5,0.018461538461538463,6.0
accuracy,0.6537940379403794,0.6537940379403794,0.6537940379403794,0.6537940379403794
macro avg,0.3249843086124115,0.4053720377251949,0.2990777739080491,1476.0
weighted avg,0.8755365393517157,0.6537940379403794,0.7452914955601236,1476.0
