,precision,recall,f1-score,support
Faixa 0,0.9376344086021505,0.989409984871407,0.9628266470371734,1322.0
Faixa 1,0.5777777777777777,0.2524271844660194,0.35135135135135137,103.0
Faixa 2,0.3793103448275862,0.24444444444444444,0.2972972972972973,45.0
Faixa 3,0.0,0.0,0.0,6.0
accuracy,0.9112466124661247,0.9112466124661247,0.9112466124661247,0.9112466124661247
macro avg,0.47368063280187866,0.3715704034454677,0.4028688239214555,1476.0
weighted avg,0.8916888650409184,0.9112466124661247,0.8959514870939774,1476.0
