variavel,coeficiente
pct_pop_menor12,-0.0024603177688367578
pct_pop_60mais,-0.0016534347526177054
meteo_temp_max,-0.0012592036854222302
mapbiomas_pct_non_vegetated,0.001011480617931449
meteo_precipitacao,0.0009522863647959745
meteo_temp_min,0.0007746595192313483
fogo_pct_territorio,0.0005784949703078656
mapbiomas_pct_non_forest_natural,-0.00042419161714337463
meteo_temp_amplitude,-0.00025806278220860874
mapbiomas_pct_forest,-0.00018622207183454368
mapbiomas_pct_water,0.00015809495325669242
mapbiomas_pct_farming,-0.00015353882411529987
meteo_temp_media,-0.0001359093025822809
meteo_umidade,0.00012004866732200697
