modelo,MAE,RMSE,R2,MAPE_pct,Pearson_r,Spearman_rho,MAE_cv
Poisson_GLM,0.01177,0.02988,0.0848,90.53,0.3083,0.3979,0.012492
Random_Forest,0.01183,0.02918,0.1273,75.73,0.4221,0.3964,0.012911
GradientBoosting,0.00671,0.02827,0.1807,72.22,0.4375,0.4347,0.008873
XGBoost,0.00652,0.02924,0.1236,79.77,0.3825,0.4511,0.008483
