feature,grupo,selecionada,corr_target
pct_pop_60mais,opcional,True,0.0431
pct_pop_menor12,opcional,False,0.0116
pib_per_capita,opcional,True,0.0496
cadunico_pct_pop,opcional,True,0.1203
caged_taxa_pop,opcional,True,0.0057
cobertura_aps,opcional,True,0.1237
mapbiomas_pct_farming,opcional,False,0.0063
mapbiomas_pct_forest,opcional,True,0.0569
mapbiomas_pct_non_forest_natural,opcional,True,0.0165
mapbiomas_pct_non_vegetated,opcional,True,0.1249
mapbiomas_pct_water,opcional,True,0.0167
fogo_pct_territorio,obrigatoria,True,0.0006
meteo_temp_media,obrigatoria,True,0.0959
meteo_temp_min,obrigatoria,True,0.0885
meteo_temp_max,obrigatoria,True,0.0886
meteo_temp_amplitude,obrigatoria,True,0.007
meteo_precipitacao,obrigatoria,True,0.0232
meteo_umidade,obrigatoria,True,0.0383
month_sin,obrigatoria,True,0.0493
month_cos,obrigatoria,True,0.0659
fase_covid,obrigatoria,True,0.1165
baseline_srag_municipio,obrigatoria,True,0.2955
year_trend,obrigatoria,True,0.1114
