model,feature,importance
Poisson_GLM,baseline_srag_municipio,0.429516
Poisson_GLM,year_trend,0.234069
Poisson_GLM,month_sin,0.048866
Poisson_GLM,month_cos,0.09196
Poisson_GLM,fase_covid,0.262592
Poisson_GLM,meteo_temp_media,0.087411
Poisson_GLM,meteo_temp_min,0.105917
Poisson_GLM,meteo_temp_max,0.105458
Poisson_GLM,meteo_temp_amplitude,0.007807
Poisson_GLM,meteo_precipitacao,0.034861
Poisson_GLM,meteo_umidade,0.07047
Poisson_GLM,fogo_pct_territorio,0.017418
Poisson_GLM,pct_pop_60mais,0.019371
Poisson_GLM,pib_per_capita,0.053872
Poisson_GLM,cadunico_pct_pop,0.180298
Poisson_GLM,caged_taxa_pop,0.033155
Poisson_GLM,cobertura_aps,0.101924
Poisson_GLM,mapbiomas_pct_forest,0.042018
Poisson_GLM,mapbiomas_pct_non_forest_natural,0.042658
Poisson_GLM,mapbiomas_pct_non_vegetated,0.048282
Poisson_GLM,mapbiomas_pct_water,0.053879
Random_Forest,baseline_srag_municipio,0.230758
Random_Forest,year_trend,0.050672
Random_Forest,month_sin,0.007041
Random_Forest,month_cos,0.007113
Random_Forest,fase_covid,0.038148
Random_Forest,meteo_temp_media,0.031194
Random_Forest,meteo_temp_min,0.032796
Random_Forest,meteo_temp_max,0.044463
Random_Forest,meteo_temp_amplitude,0.017287
Random_Forest,meteo_precipitacao,0.011131
Random_Forest,meteo_umidade,0.01469
Random_Forest,fogo_pct_territorio,0.025165
Random_Forest,pct_pop_60mais,0.047997
Random_Forest,pib_per_capita,0.073679
Random_Forest,cadunico_pct_pop,0.057761
Random_Forest,caged_taxa_pop,0.021779
Random_Forest,cobertura_aps,0.06411
Random_Forest,mapbiomas_pct_forest,0.038115
Random_Forest,mapbiomas_pct_non_forest_natural,0.023353
Random_Forest,mapbiomas_pct_non_vegetated,0.116363
Random_Forest,mapbiomas_pct_water,0.046384
XGBoost,baseline_srag_municipio,0.1748339980840683
XGBoost,year_trend,0.14575199782848358
XGBoost,month_sin,0.01866300031542778
XGBoost,month_cos,0.016759999096393585
XGBoost,fase_covid,0.3092760145664215
XGBoost,meteo_temp_media,0.023462999612092972
XGBoost,meteo_temp_min,0.023213999345898628
XGBoost,meteo_temp_max,0.01923999935388565
XGBoost,meteo_temp_amplitude,0.009589999914169312
XGBoost,meteo_precipitacao,0.016423000022768974
XGBoost,meteo_umidade,0.009921000339090824
XGBoost,fogo_pct_territorio,0.018982000648975372
XGBoost,pct_pop_60mais,0.019881000742316246
XGBoost,pib_per_capita,0.039420001208782196
XGBoost,cadunico_pct_pop,0.028558999300003052
XGBoost,caged_taxa_pop,0.014069999568164349
XGBoost,cobertura_aps,0.021831000223755836
XGBoost,mapbiomas_pct_forest,0.01779099926352501
XGBoost,mapbiomas_pct_non_forest_natural,0.017356999218463898
XGBoost,mapbiomas_pct_non_vegetated,0.02848600037395954
XGBoost,mapbiomas_pct_water,0.026489000767469406
