modelo,MAE,RMSE,R2,MAPE_pct,Pearson_r,Spearman_rho,MAE_cv
Poisson_GLM,0.03081,0.04499,-0.1664,173.04,0.28,0.2521,0.020167
Random_Forest,0.02724,0.04102,0.0301,127.74,0.3708,0.3224,0.019043
GradientBoosting,0.02731,0.045,-0.1673,109.29,0.276,0.2902,0.019372
XGBoost,0.02595,0.04149,0.0078,97.21,0.3555,0.2948,0.017954
