,median
pct_pop_60mais,15.533333333333333
pct_pop_menor12,15.4
pib_per_capita,34996.5763313072
cadunico_pct_pop,42.6231850775105
caged_taxa_pop,0.5653620123608187
cobertura_aps,113.83
mapbiomas_pct_farming,72.664025
mapbiomas_pct_forest,23.363083333333336
mapbiomas_pct_non_forest_natural,0.5537583333333334
mapbiomas_pct_non_vegetated,0.6811291666666666
mapbiomas_pct_water,0.3733333333333333
fogo_pct_territorio,0.1863
meteo_temp_media,24.849999999999998
meteo_temp_min,17.040000000000003
meteo_temp_max,34.403333333333336
meteo_temp_amplitude,18.241666666666667
meteo_precipitacao,2.133333333333333
meteo_umidade,65.36666666666666
month_sin,-9.020562075079397e-17
month_cos,-2.7755575615628914e-17
fase_covid,1.0
baseline_srag_municipio,0.0747505546730914
year_trend,0.4999999999375
