model,feature,importance
Poisson_GLM,baseline_srag_municipio,0.501152
Poisson_GLM,year_trend,0.482574
Poisson_GLM,month_sin,0.284334
Poisson_GLM,month_cos,0.20572
Poisson_GLM,fase_covid,0.482574
Poisson_GLM,meteo_temp_media,0.539606
Poisson_GLM,meteo_temp_min,0.555767
Poisson_GLM,meteo_temp_max,0.310962
Poisson_GLM,meteo_temp_amplitude,0.155606
Poisson_GLM,meteo_precipitacao,0.193171
Poisson_GLM,meteo_umidade,0.661631
Poisson_GLM,fogo_pct_territorio,0.029477
Poisson_GLM,pct_pop_60mais,0.122141
Poisson_GLM,pib_per_capita,0.009671
Poisson_GLM,cadunico_pct_pop,0.178094
Poisson_GLM,caged_taxa_pop,0.029173
Poisson_GLM,cobertura_aps,0.137709
Poisson_GLM,mapbiomas_pct_farming,0.083146
Poisson_GLM,mapbiomas_pct_forest,0.141806
Poisson_GLM,mapbiomas_pct_non_forest_natural,0.160175
Poisson_GLM,mapbiomas_pct_non_vegetated,0.017111
Poisson_GLM,mapbiomas_pct_water,0.112301
Random_Forest,baseline_srag_municipio,0.227535
Random_Forest,year_trend,0.080869
Random_Forest,month_sin,0.000542
Random_Forest,month_cos,0.000898
Random_Forest,fase_covid,0.073157
Random_Forest,meteo_temp_media,0.023289
Random_Forest,meteo_temp_min,0.019777
Random_Forest,meteo_temp_max,0.02595
Random_Forest,meteo_temp_amplitude,0.02465
Random_Forest,meteo_precipitacao,0.024065
Random_Forest,meteo_umidade,0.009986
Random_Forest,fogo_pct_territorio,0.023389
Random_Forest,pct_pop_60mais,0.083619
Random_Forest,pib_per_capita,0.061756
Random_Forest,cadunico_pct_pop,0.066494
Random_Forest,caged_taxa_pop,0.016964
Random_Forest,cobertura_aps,0.040095
Random_Forest,mapbiomas_pct_farming,0.035633
Random_Forest,mapbiomas_pct_forest,0.01737
Random_Forest,mapbiomas_pct_non_forest_natural,0.015715
Random_Forest,mapbiomas_pct_non_vegetated,0.096392
Random_Forest,mapbiomas_pct_water,0.031856
XGBoost,baseline_srag_municipio,0.10178700089454651
XGBoost,year_trend,0.15001599490642548
XGBoost,month_sin,0.02004699967801571
XGBoost,month_cos,0.004898000042885542
XGBoost,fase_covid,0.2678450047969818
XGBoost,meteo_temp_media,0.020529000088572502
XGBoost,meteo_temp_min,0.019620999693870544
XGBoost,meteo_temp_max,0.042520999908447266
XGBoost,meteo_temp_amplitude,0.01423600036650896
XGBoost,meteo_precipitacao,0.03315100073814392
XGBoost,meteo_umidade,0.01146399974822998
XGBoost,fogo_pct_territorio,0.018637999892234802
XGBoost,pct_pop_60mais,0.03947199881076813
XGBoost,pib_per_capita,0.039441999047994614
XGBoost,cadunico_pct_pop,0.021542999893426895
XGBoost,caged_taxa_pop,0.015653999522328377
XGBoost,cobertura_aps,0.02000799961388111
XGBoost,mapbiomas_pct_farming,0.029683999717235565
XGBoost,mapbiomas_pct_forest,0.024845000356435776
XGBoost,mapbiomas_pct_non_forest_natural,0.020752999931573868
XGBoost,mapbiomas_pct_non_vegetated,0.06356099992990494
XGBoost,mapbiomas_pct_water,0.020284000784158707
