rank_real,rank_modelo,diferenca_rank,cod_mun,municipio,srag_taxa_casos_median,pred_atemporal,fogo_pct_territorio,mapbiomas_pct_farming,mapbiomas_pct_forest,mapbiomas_pct_non_forest_natural,mapbiomas_pct_non_vegetated,mapbiomas_pct_water,meteo_precipitacao,meteo_temp_amplitude,meteo_temp_max,meteo_temp_media,meteo_temp_min,meteo_umidade,pct_pop_60mais,pct_pop_menor12
1,81,80,521450,NEROPOLIS,0.18513705288337878,0.0038871564902365208,1.58735,70.50770833333334,23.681541666666664,0.1321,3.9323833333333327,1.7914166666666667,3.0,17.955,32.67,23.634999999999998,17.115000000000002,69.19999999999999,12.1,17.4
2,33,31,520110,ANAPOLIS,0.13453456042511547,0.010497079230844975,1.0813000000000001,64.91998333333333,22.03050833333333,0.1003708333333333,12.715204166666666,0.23384166666666667,2.85,17.96,31.490000000000002,22.73,15.465,69.9,13.649999999999999,16.3
3,1,2,520870,GOIANIA,0.11808518224636999,0.12094397842884064,1.53935,40.46035833333333,16.583458333333333,0.6034208333333333,41.216350000000006,1.0566,3.0,17.955,32.67,23.634999999999998,17.115000000000002,69.19999999999999,14.45,14.6
4,4,0,520140,APARECIDA DE GOIANIA,0.1085941057073672,0.03041985258460045,0.5263,31.229658333333333,17.375445833333334,2.2654916666666667,49.05973333333333,0.06967083333333329,2.8,18.784999999999997,33.335,24.235,17.115000000000002,67.8,10.0,17.05
5,120,115,520450,CALDAS NOVAS,0.10326317006930705,0.0013777932617813349,0.048,60.59551666666667,33.490345833333336,0.2796458333333333,3.294220833333333,2.3184,2.5,18.244999999999997,33.515,24.645,17.39,67.55000000000001,12.8,16.6
6,23,17,521880,RIO VERDE,0.058160262535639454,0.014013693667948246,0.45694999999999997,79.31102916666666,15.257275,4.4451833333333335,0.8396375,0.14687916666666664,2.45,19.275,32.185,23.465,15.735,65.94999999999999,10.3,17.3
7,59,52,521020,IPORA,0.054419601178797405,0.006207303609699011,0.7202999999999999,73.44689166666666,24.428325,0.050629166666666656,1.84945,0.23552916666666662,2.6,17.97,33.620000000000005,25.035,18.205,60.7,18.8,14.1
8,29,21,521190,JATAI,0.047078406203223455,0.012042534537613392,0.4749,77.8425125,17.3891875,3.9827541666666666,0.5875375,0.1954,2.6500000000000004,19.915,32.900000000000006,24.07,16.325000000000003,65.8,13.350000000000001,16.4
9,31,22,521090,ITAPACI,0.046278105851144655,0.010999133810400963,0.5175,65.44559583333333,33.37675,0.1655333333333333,0.6958458333333333,0.3162708333333333,2.55,17.975,34.235,25.045,18.314999999999998,68.25,14.45,16.2
10,94,84,522160,URUACU,0.0460278397967456,0.0029051664751023054,2.1234,53.3790625,38.688429166666666,0.2343,0.9815,7.677945833333334,2.5,18.215,35.19499999999999,26.03,19.25,65.75,14.850000000000001,15.95
11,84,73,520510,CATALAO,0.045744016117357456,0.003696001833304763,0.1335,67.78282916666666,24.209516666666666,2.364720833333333,1.47835,4.2645625,1.9,18.939999999999998,32.93,23.335,15.84,66.8,13.1,15.4
12,35,23,520540,CERES,0.0444266843849707,0.010357415303587914,1.3933499999999999,86.227125,9.836129166666666,0.0166,3.2106,0.7226083333333333,2.7,17.79,34.135000000000005,24.79,17.985,68.4,17.8,13.9
13,152,139,521710,PIRACANJUBA,0.0396031843893179,0.00039695051964372396,0.247,78.8948875,20.038062500000002,0.35762083333333333,0.35878333333333334,0.35119583333333326,2.6,19.16,33.504999999999995,23.91,16.465,67.35,20.95,13.3
14,113,99,521730,PIRENOPOLIS,0.0375551963363944,0.0015906073385849595,1.4035,46.444158333333334,51.79314166666666,1.3188875,0.3771625,0.06672916666666664,2.9000000000000004,17.445,31.835,22.77,15.8,69.80000000000001,16.8,15.149999999999999
15,72,57,521000,INHUMAS,0.03743495897907905,0.0048802318051457405,0.7603,81.78275,15.226404166666665,0.066375,2.6237,0.30036666666666667,3.0,17.955,32.67,23.634999999999998,17.115000000000002,69.19999999999999,16.5,14.5
16,74,58,521150,ITUMBIARA,0.036758126298519656,0.004359652753919363,2.5893,80.53415416666667,11.7773875,1.6904124999999999,1.7151666666666667,4.2966,2.55,19.485,34.239999999999995,25.1,17.634999999999998,63.9,15.45,15.5
17,86,69,521310,MINEIROS,0.0278161130645061,0.003388277254998684,3.332,54.8653625,31.1690125,13.529933333333332,0.37762083333333335,0.05759999999999995,2.55,18.92,32.345,23.93,16.725,65.45,11.2,18.0
18,8,10,520860,GOIANESIA,0.02665693774772815,0.022768618538975716,2.6326,71.1748,26.6568625,0.1225875,1.7171708333333333,0.3205,2.7,17.79,34.135000000000005,24.79,17.985,68.4,13.1,16.1
19,115,96,521930,SANTA HELENA DE GOIAS,0.0254796640239179,0.0014850758016109467,0.99055,87.421425,7.2291,3.0716791666666667,1.2494375,1.0276291666666668,2.55,20.05,33.87,24.725,16.95,61.15,16.25,15.1
20,69,49,521890,RUBIATABA,0.02482498386376045,0.005464933346956968,0.5541,79.24262916666666,19.778329166666666,0.0386125,0.8291166666666667,0.11106250000000001,2.25,18.54,35.790000000000006,25.735,19.17,64.44999999999999,17.35,14.2
21,47,26,521180,JARAGUA,0.021610174799095,0.007460583932697773,0.7383500000000001,68.51152916666666,30.366279166666665,0.0766166666666666,0.7460374999999999,0.2999333333333333,2.7,17.79,34.135000000000005,24.79,17.985,68.4,14.1,15.649999999999999
22,11,11,522140,TRINDADE,0.02080308317849825,0.02108461782336235,0.62605,77.2439,15.783883333333335,0.6963625,5.8406875,0.4352625,3.0,17.955,32.67,23.634999999999998,17.115000000000002,69.19999999999999,11.45,17.6
