modelo,MAE,RMSE,R2,MAPE_pct,Pearson_r,Spearman_rho
Ridge,0.01204,0.02355,0.0226,151.43,0.2616,0.2354
Random_Forest,0.01183,0.02348,0.0291,124.2,0.2154,0.2522
GradientBoosting,0.0105,0.02464,-0.0695,81.51,0.261,0.2371
XGBoost,0.01028,0.02351,0.0262,84.29,0.2911,0.2632
