modelo,MAE,RMSE,R2,MAPE_pct,Pearson_r,Spearman_rho,MAE_cv
Poisson_GLM,0.02983,0.04389,-0.1101,181.6,0.2845,0.272,0.020091
Random_Forest,0.02645,0.03957,0.0973,137.31,0.4232,0.3537,0.019371
GradientBoosting,0.02516,0.04118,0.0226,113.89,0.3925,0.3579,0.02051
XGBoost,0.02488,0.04004,0.0758,105.98,0.3881,0.3439,0.018281
