model,feature,importance
Poisson_GLM,baseline_srag_municipio,0.505618
Poisson_GLM,year_trend,0.451374
Poisson_GLM,month_sin,0.300597
Poisson_GLM,month_cos,0.25832
Poisson_GLM,fase_covid,0.451374
Poisson_GLM,meteo_temp_media,0.608415
Poisson_GLM,meteo_temp_min,0.578391
Poisson_GLM,meteo_temp_max,0.334985
Poisson_GLM,meteo_temp_amplitude,0.1538
Poisson_GLM,meteo_precipitacao,0.214584
Poisson_GLM,meteo_umidade,0.721824
Poisson_GLM,fogo_pct_territorio,0.019543
Poisson_GLM,mapbiomas_pct_farming,0.037701
Poisson_GLM,mapbiomas_pct_forest,0.104288
Poisson_GLM,mapbiomas_pct_non_forest_natural,0.207747
Poisson_GLM,mapbiomas_pct_non_vegetated,0.011016
Poisson_GLM,mapbiomas_pct_water,0.143449
Random_Forest,baseline_srag_municipio,0.261266
Random_Forest,year_trend,0.09819
Random_Forest,month_sin,0.000747
Random_Forest,month_cos,0.000657
Random_Forest,fase_covid,0.086106
Random_Forest,meteo_temp_media,0.026677
Random_Forest,meteo_temp_min,0.03318
Random_Forest,meteo_temp_max,0.037654
Random_Forest,meteo_temp_amplitude,0.033699
Random_Forest,meteo_precipitacao,0.02334
Random_Forest,meteo_umidade,0.014705
Random_Forest,fogo_pct_territorio,0.043873
Random_Forest,mapbiomas_pct_farming,0.058525
Random_Forest,mapbiomas_pct_forest,0.042147
Random_Forest,mapbiomas_pct_non_forest_natural,0.042178
Random_Forest,mapbiomas_pct_non_vegetated,0.153697
Random_Forest,mapbiomas_pct_water,0.043359
XGBoost,baseline_srag_municipio,0.11249999701976776
XGBoost,year_trend,0.18359899520874023
XGBoost,month_sin,0.02081499993801117
XGBoost,month_cos,0.06128299981355667
XGBoost,fase_covid,0.22250999510288239
XGBoost,meteo_temp_media,0.02267500013113022
XGBoost,meteo_temp_min,0.025875000283122063
XGBoost,meteo_temp_max,0.031099999323487282
XGBoost,meteo_temp_amplitude,0.02514299936592579
XGBoost,meteo_precipitacao,0.03794199973344803
XGBoost,meteo_umidade,0.019231000915169716
XGBoost,fogo_pct_territorio,0.02566099911928177
XGBoost,mapbiomas_pct_farming,0.041554998606443405
XGBoost,mapbiomas_pct_forest,0.0343019999563694
XGBoost,mapbiomas_pct_non_forest_natural,0.0389150008559227
XGBoost,mapbiomas_pct_non_vegetated,0.07246600091457367
XGBoost,mapbiomas_pct_water,0.024428000673651695
