feature,grupo,selecionada,corr_target
mapbiomas_pct_farming,opcional,True,0.0216
mapbiomas_pct_forest,opcional,True,0.0385
mapbiomas_pct_non_forest_natural,opcional,True,0.0681
mapbiomas_pct_non_vegetated,opcional,True,0.1031
mapbiomas_pct_water,opcional,True,0.053
fogo_pct_territorio,obrigatoria,True,0.0042
meteo_temp_media,obrigatoria,True,0.0497
meteo_temp_min,obrigatoria,True,0.0655
meteo_temp_max,obrigatoria,True,0.0295
meteo_temp_amplitude,obrigatoria,True,0.0234
meteo_precipitacao,obrigatoria,True,0.0219
meteo_umidade,obrigatoria,True,0.0088
month_sin,obrigatoria,True,0.0203
month_cos,obrigatoria,True,0.0472
fase_covid,obrigatoria,True,0.3038
baseline_srag_municipio,obrigatoria,True,0.2873
year_trend,obrigatoria,True,0.3038
