cod_mun,ano_mes,ha_farming,ha_forest,ha_non_forest_natural_formation,ha_non_vegetated_area,ha_not_observed,ha_water_and_marine_environment
520005,1985-01,10407.145586040851,3503.7695248778546,231.57920590820336,170.35201489257844,,22.87770067749025
520005,1986-01,10656.910377507715,3321.946849639856,170.1465671752929,164.27114923706065,,22.44908883666993
520005,1987-01,10860.836816728974,3126.416307604918,167.40417226562496,158.3604837768555,,22.70625202026368
520005,1988-01,10950.030709465904,3047.0748845031467,163.54861549072245,152.10677632446277,,22.96304661254883
520005,1989-01,11012.916946098998,2993.9559357604594,159.77947518310526,146.1086714355468,,22.96300391845704
520005,1990-01,11089.689872466324,2932.1792264831347,156.6095271362302,133.68256477050784,,23.56284154052736
520005,1991-01,11175.202329229021,2871.000381915276,140.33253610229485,123.74077774658224,,25.44800740356446
520005,1992-01,11239.295188201035,2820.3602361877192,127.4801907226563,122.71197553100616,,25.87644175415041
520005,1993-01,11361.047137657817,2677.783569744833,124.90997957763676,145.16437473144586,,26.81897068481448
520005,1994-01,11435.254994829436,2587.3828404601527,116.17084822387712,167.8683339904788,,29.04701489257815
520005,1995-01,11490.097453880913,2503.7499192016,113.42912465820326,198.02982967529314,,30.41770498046876
520005,1996-01,11559.762900371456,2422.4313371520434,111.20093627929697,211.82526766357455,,30.5035909301758
520005,1997-01,11616.05568027872,2372.0519807800033,109.57301617431645,207.79683674316396,,30.2465184204102
520005,1998-01,11691.537931188368,2307.711601983617,109.1445443969727,194.51304539184514,,32.81690943603518
520005,1999-01,11724.609720714448,2288.5184909606896,97.49458402709953,189.11430687866172,,35.98692981567388
520005,2000-01,11788.260717357522,2240.802600555421,89.35645910644513,190.3998491577141,,26.90440621948243
520005,2001-01,11786.803587584644,2246.713330725088,83.61755348510715,192.79928980712805,,25.79027079467772
520005,2002-01,11791.431193334189,2233.773063726783,81.39022833862279,200.76894172973545,,28.36060526733398
520005,2003-01,11778.745825316528,2237.0302838867005,76.85028185424774,212.85181447143432,,30.24582686767579
520005,2004-01,11721.766497667857,2253.7363747009144,71.96687216796856,257.06574949951045,,31.18853836059574
520005,2005-01,11614.2501622794,2325.5255586242497,66.74097637329092,297.41894769897414,,31.78838742065433
520005,2006-01,11564.981679723282,2332.3819427123835,66.14139644775386,339.31641214599654,,32.90260136718754
520005,2007-01,11534.22035963074,2336.151009228474,64.51365572509762,366.13694190673834,,34.70206590576175
520005,2008-01,11503.030133831095,2358.516390417414,64.2565930236816,376.7611496337885,,33.1597654907227
520005,2009-01,11490.261859050828,2361.687279382269,64.17110844726558,387.8150667541506,,31.78871876220706
520005,2010-01,11466.691091350776,2352.778833447207,63.057093377685504,422.6935298034686,,30.5034844177246
520005,2011-01,11381.104527398387,2365.45637764279,61.258149816894516,498.51537264404465,,29.38960489501951
520005,2012-01,11268.777454089099,2360.7451849914223,56.97467144165043,620.008364044191,,29.21835783081054
520005,2013-01,11153.789186096003,2383.877896466035,45.066418444824336,727.7135208801335,,25.27701051025389
520005,2014-01,11096.983657122628,2394.757401690647,42.41059887084972,776.6382348876942,,24.934139825439434
520005,2015-01,11007.787750237962,2409.3229189513863,40.3544051940919,851.8683484191913,,26.390609594726545
520005,2016-01,10887.923882098132,2446.7669278991275,40.61165869140635,935.7447035522531,,24.676860156249983
520005,2017-01,10788.366237627944,2473.5840918761687,39.840433038330175,1007.9712751892109,,25.961994665527325
520005,2018-01,10687.011837298754,2499.0277643126833,38.469639807128964,1083.1963196166946,,28.01847136230468
520005,2019-01,10623.013517742831,2502.1941709594253,37.78426884765631,1144.7136217773384,,28.01845307006835
520005,2020-01,10590.539960357568,2494.6531830138674,37.8700373229981,1185.0709941040195,,27.58985759887693
520005,2021-01,10561.322636401374,2474.776679559276,37.099050000000034,1234.764380261235,,27.76128617553709
520005,2022-01,10490.121617120514,2465.095862847853,35.2140463928223,1312.0470086547969,,33.24549738159182
520005,2023-01,10438.712335327353,2464.5824603148862,34.956969970703156,1363.026974224864,,34.44529255981447
520005,2024-01,10430.066624475256,2418.9985160522074,34.01448945312501,1417.513504516614,,35.13089790039062
520010,1985-01,55086.909425207195,45182.42997201542,2294.1479094482575,1636.7658223205606,,256.1986614562986
520010,1986-01,56260.32991589794,44404.12615910061,1941.049760546853,1628.183000048831,,222.7629548522949
520010,1987-01,55446.270611967004,45485.49500828854,1770.6851149291838,1522.5586101867673,,231.4424450744628
520010,1988-01,56203.397561443286,45101.112981432874,1500.475331115698,1400.2605185119612,,251.2053979431149
520010,1989-01,55252.312349228785,46253.18592039741,1252.2614994933888,1457.0249825500537,,241.6670387756344
520010,1990-01,56515.41320325264,45077.972310644254,1106.220869213863,1503.2303085327196,,253.6150988037107
