cod_mun,municipio,ano_mes,temp_media_c,temp_min_c,temp_max_c,temp_amplitude_c,precip_mm,umidade_relativa_pct
520005,ABADIA DE GOIAS,2021-09,29.09,17.56,40.12,22.56,1.6,32.2
520005,ABADIA DE GOIAS,2021-10,26.63,18.51,37.67,19.16,4.3,64.8
520005,ABADIA DE GOIAS,2021-11,24.18,17.96,33.42,15.46,7.0,79.5
520005,ABADIA DE GOIAS,2021-12,24.33,17.22,32.23,15.01,6.6,78.8
520005,ABADIA DE GOIAS,2021-13,24.44,7.6,40.12,32.52,3.0,60.6
520005,ABADIA DE GOIAS,2022-01,23.44,17.02,31.38,14.36,6.3,81.8
520005,ABADIA DE GOIAS,2022-02,23.48,18.48,30.19,11.71,8.8,83.6
520005,ABADIA DE GOIAS,2022-03,23.8,17.6,30.14,12.54,5.0,78.9
520005,ABADIA DE GOIAS,2022-04,23.1,12.3,30.64,18.34,1.3,74.1
520005,ABADIA DE GOIAS,2022-05,20.53,4.21,31.93,27.72,0.5,65.3
520005,ABADIA DE GOIAS,2022-06,21.75,11.11,32.07,20.96,0.1,56.5
520005,ABADIA DE GOIAS,2022-07,22.6,12.9,33.11,20.21,0.0,44.0
520005,ABADIA DE GOIAS,2022-08,24.37,9.75,35.19,25.44,0.1,37.7
520005,ABADIA DE GOIAS,2022-09,26.92,15.67,38.63,22.96,2.3,42.6
520005,ABADIA DE GOIAS,2022-10,26.32,17.75,38.37,20.62,3.6,59.6
520005,ABADIA DE GOIAS,2022-11,24.58,16.38,33.69,17.31,6.9,70.0
520005,ABADIA DE GOIAS,2022-12,23.16,16.69,29.46,12.77,11.4,84.3
520005,ABADIA DE GOIAS,2022-13,23.67,4.21,38.63,34.42,3.8,64.8
520005,ABADIA DE GOIAS,2023-01,22.99,18.1,29.24,11.14,11.8,85.2
520005,ABADIA DE GOIAS,2023-02,23.89,18.83,30.01,11.18,10.2,82.7
520005,ABADIA DE GOIAS,2023-03,23.03,15.67,29.55,13.88,8.4,83.4
520005,ABADIA DE GOIAS,2023-04,22.74,14.85,29.42,14.57,2.6,82.8
520005,ABADIA DE GOIAS,2023-05,19.69,10.97,28.08,17.11,0.1,74.2
520005,ABADIA DE GOIAS,2023-06,19.25,11.04,28.63,17.59,0.1,71.8
520005,ABADIA DE GOIAS,2023-07,21.1,11.15,31.57,20.42,0.0,59.8
520005,ABADIA DE GOIAS,2023-08,24.79,14.1,36.4,22.3,0.4,48.6
520005,ABADIA DE GOIAS,2023-09,28.53,17.4,40.15,22.75,0.9,44.8
520005,ABADIA DE GOIAS,2023-10,29.04,20.55,39.38,18.83,2.6,56.7
520005,ABADIA DE GOIAS,2023-11,28.38,18.86,41.11,22.25,5.2,58.4
520005,ABADIA DE GOIAS,2023-12,27.48,20.14,38.16,18.02,4.5,63.8
520005,ABADIA DE GOIAS,2023-13,24.24,10.97,41.11,30.14,3.9,67.6
520005,ABADIA DE GOIAS,2024-01,25.29,17.58,34.72,17.14,4.3,75.8
520005,ABADIA DE GOIAS,2024-02,24.88,17.64,34.87,17.23,5.4,76.2
520005,ABADIA DE GOIAS,2024-03,25.7,19.97,34.44,14.47,6.8,77.5
520005,ABADIA DE GOIAS,2024-04,24.98,16.93,34.39,17.46,1.7,71.6
520005,ABADIA DE GOIAS,2024-05,24.27,13.57,34.57,21.0,0.0,49.4
520005,ABADIA DE GOIAS,2024-06,23.33,14.73,32.9,18.17,0.0,45.0
520005,ABADIA DE GOIAS,2024-07,23.68,14.85,34.52,19.67,0.0,37.0
520005,ABADIA DE GOIAS,2024-08,24.54,9.71,36.94,27.23,0.0,32.4
520005,ABADIA DE GOIAS,2024-09,29.13,17.96,39.45,21.49,0.4,26.9
520005,ABADIA DE GOIAS,2024-10,27.21,19.32,41.28,21.96,9.2,61.1
520005,ABADIA DE GOIAS,2024-11,24.2,18.25,30.84,12.59,9.9,83.0
520005,ABADIA DE GOIAS,2024-12,24.4,17.55,31.72,14.17,3.8,81.7
520005,ABADIA DE GOIAS,2024-13,25.13,9.71,41.28,31.57,3.4,59.8
520005,ABADIA DE GOIAS,2025-01,24.24,18.24,30.57,12.33,4.4,82.0
520005,ABADIA DE GOIAS,2025-02,24.33,18.02,32.57,14.55,4.8,75.9
520005,ABADIA DE GOIAS,2025-03,25.21,17.78,33.77,15.99,2.9,70.5
520005,ABADIA DE GOIAS,2025-04,25.28,18.38,33.27,14.89,2.2,70.9
520005,ABADIA DE GOIAS,2025-05,23.4,14.01,33.6,19.59,0.2,55.1
520005,ABADIA DE GOIAS,2025-06,22.92,11.36,33.37,22.01,0.2,51.0
520005,ABADIA DE GOIAS,2025-07,22.73,12.88,34.07,21.19,0.0,41.9
520005,ABADIA DE GOIAS,2025-08,24.64,8.9,35.83,26.93,0.0,31.1
520005,ABADIA DE GOIAS,2025-09,28.04,18.63,38.43,19.8,0.5,33.9
520005,ABADIA DE GOIAS,2025-10,28.53,16.3,39.98,23.68,1.0,40.8
520005,ABADIA DE GOIAS,2025-11,28.04,16.77,38.64,21.87,2.3,53.3
520005,ABADIA DE GOIAS,2025-12,25.1,18.53,37.61,19.08,5.9,74.7
520005,ABADIA DE GOIAS,2025-13,25.2,8.9,39.98,31.08,2.0,56.6
520010,ABADIANIA,2017-01,22.84,17.05,31.15,14.1,5.4,78.2
520010,ABADIANIA,2017-02,21.73,14.53,27.73,13.2,7.0,84.7
520010,ABADIANIA,2017-03,22.78,16.7,29.86,13.16,4.8,79.1
520010,ABADIANIA,2017-04,22.24,15.81,28.58,12.77,4.0,80.1
520010,ABADIANIA,2017-05,21.58,12.73,29.37,16.64,1.2,71.8
520010,ABADIANIA,2017-06,20.94,12.62,30.93,18.31,0.0,58.5
520010,ABADIANIA,2017-07,19.09,10.04,30.06,20.02,0.1,48.9
520010,ABADIANIA,2017-08,23.68,12.27,34.77,22.5,0.1,35.9
520010,ABADIANIA,2017-09,24.69,13.62,34.65,21.03,0.4,33.6
520010,ABADIANIA,2017-10,26.58,17.08,38.41,21.33,2.0,43.1
520010,ABADIANIA,2017-11,22.77,14.67,31.62,16.95,7.2,78.8
520010,ABADIANIA,2017-12,22.21,17.05,29.76,12.71,8.7,84.0
520010,ABADIANIA,2017-13,22.6,10.04,38.41,28.37,3.4,64.6
520010,ABADIANIA,2018-01,22.3,16.19,29.65,13.46,6.2,80.0
520010,ABADIANIA,2018-02,22.18,16.68,28.49,11.81,8.0,84.0
520010,ABADIANIA,2018-03,22.57,16.03,29.01,12.98,4.7,83.4
520010,ABADIANIA,2018-04,20.84,14.72,26.94,12.22,3.8,84.4
520010,ABADIANIA,2018-05,19.83,7.64,28.07,20.43,0.8,72.2
520010,ABADIANIA,2018-06,20.72,11.97,30.23,18.26,0.0,58.9
520010,ABADIANIA,2018-07,21.36,11.8,31.98,20.18,0.0,46.8
520010,ABADIANIA,2018-08,23.9,13.02,33.81,20.79,0.5,43.0
520010,ABADIANIA,2018-09,25.56,13.05,35.32,22.27,1.2,41.2
520010,ABADIANIA,2018-10,24.37,18.67,34.65,15.98,5.9,71.5
520010,ABADIANIA,2018-11,22.2,17.06,29.69,12.63,7.2,83.5
520010,ABADIANIA,2018-12,22.43,16.41,29.55,13.14,6.3,81.6
520010,ABADIANIA,2018-13,22.36,7.64,35.32,27.68,3.7,69.1
520010,ABADIANIA,2019-01,23.08,15.83,31.93,16.1,3.1,75.3
520010,ABADIANIA,2019-02,23.12,17.06,32.89,15.83,7.6,81.1
520010,ABADIANIA,2019-03,22.37,17.31,28.81,11.5,7.0,85.0
520010,ABADIANIA,2019-04,22.41,16.61,28.54,11.93,4.2,83.3
520010,ABADIANIA,2019-05,21.27,12.53,29.02,16.49,1.1,77.8
520010,ABADIANIA,2019-06,20.34,12.2,29.89,17.69,0.0,62.8
520010,ABADIANIA,2019-07,20.61,8.11,31.92,23.81,0.0,49.2
520010,ABADIANIA,2019-08,23.92,14.18,34.7,20.52,0.0,40.9
520010,ABADIANIA,2019-09,27.16,17.93,38.53,20.6,0.3,32.9
520010,ABADIANIA,2019-10,26.44,17.54,37.62,20.08,2.7,51.1
520010,ABADIANIA,2019-11,24.95,17.95,36.25,18.3,3.9,69.2
520010,ABADIANIA,2019-12,23.63,17.94,31.57,13.63,5.5,77.2
520010,ABADIANIA,2019-13,23.27,8.11,38.53,30.42,2.9,65.4
520010,ABADIANIA,2020-01,23.22,17.4,30.49,13.09,9.3,82.6
520010,ABADIANIA,2020-02,22.47,17.5,28.9,11.4,11.1,86.1
520010,ABADIANIA,2020-03,22.21,17.44,28.56,11.12,7.1,86.2
520010,ABADIANIA,2020-04,21.5,13.7,28.27,14.57,5.5,85.1
520010,ABADIANIA,2020-05,19.01,8.0,26.53,18.53,0.2,78.9
520010,ABADIANIA,2020-06,19.58,10.77,27.83,17.06,0.0,70.4
520010,ABADIANIA,2020-07,20.39,12.26,30.35,18.09,0.0,56.8
520010,ABADIANIA,2020-08,22.7,11.54,34.95,23.41,0.0,45.0
520010,ABADIANIA,2020-09,26.24,16.17,38.6,22.43,0.3,35.7
520010,ABADIANIA,2020-10,25.56,18.34,40.08,21.74,6.6,60.6
520010,ABADIANIA,2020-11,23.44,15.31,32.16,16.85,3.6,73.4
520010,ABADIANIA,2020-12,24.1,17.05,33.83,16.78,4.1,71.7
520010,ABADIANIA,2020-13,22.53,8.0,40.08,32.08,4.0,69.3
520010,ABADIANIA,2021-01,23.79,15.63,32.52,16.89,4.8,72.2
520010,ABADIANIA,2021-02,22.56,16.96,31.84,14.88,10.1,82.8
520010,ABADIANIA,2021-03,21.82,14.94,29.31,14.37,3.9,78.0
520010,ABADIANIA,2021-04,20.89,12.23,29.05,16.82,2.2,74.0
520010,ABADIANIA,2021-05,21.5,12.43,32.18,19.75,0.0,62.8
520010,ABADIANIA,2021-06,21.16,7.97,31.77,23.8,0.5,55.9
520010,ABADIANIA,2021-07,20.71,9.42,31.83,22.41,0.0,41.2
520010,ABADIANIA,2021-08,23.22,12.19,34.88,22.69,0.1,38.0
520010,ABADIANIA,2021-09,27.25,15.77,38.48,22.71,1.1,32.7
520010,ABADIANIA,2021-10,25.31,18.08,36.4,18.32,4.7,64.3
520010,ABADIANIA,2021-11,22.48,17.29,31.96,14.67,10.7,82.7
520010,ABADIANIA,2021-12,22.34,16.75,28.74,11.99,8.6,85.1
520010,ABADIANIA,2021-13,22.75,7.97,38.48,30.51,3.8,64.0
520010,ABADIANIA,2022-01,21.56,14.75,28.65,13.9,8.0,85.6
520010,ABADIANIA,2022-02,21.75,16.98,27.86,10.88,10.0,86.6
520010,ABADIANIA,2022-03,22.25,16.02,28.57,12.55,3.5,80.4
520010,ABADIANIA,2022-04,22.13,14.21,30.14,15.93,0.7,73.1
520010,ABADIANIA,2022-05,20.44,3.76,31.49,27.73,0.2,60.9
520010,ABADIANIA,2022-06,21.48,13.02,31.74,18.72,0.0,49.9
520010,ABADIANIA,2022-07,21.43,12.53,31.7,19.17,0.0,43.9
520010,ABADIANIA,2022-08,23.27,11.92,33.52,21.6,0.0,37.6
520010,ABADIANIA,2022-09,25.39,14.19,36.29,22.1,1.3,44.1
520010,ABADIANIA,2022-10,25.46,17.64,36.19,18.55,3.4,55.2
520010,ABADIANIA,2022-11,23.01,14.83,31.43,16.6,7.2,74.2
520010,ABADIANIA,2022-12,21.53,16.87,28.45,11.58,10.1,86.7
520010,ABADIANIA,2022-13,22.48,3.76,36.29,32.53,3.7,64.7
520010,ABADIANIA,2023-01,21.67,16.49,28.02,11.53,6.5,85.8
520010,ABADIANIA,2023-02,22.91,17.18,29.71,12.53,4.3,79.4
520010,ABADIANIA,2023-03,21.92,15.05,29.25,14.2,6.2,81.2
520010,ABADIANIA,2023-04,21.86,14.63,28.58,13.95,2.5,81.5
520010,ABADIANIA,2023-05,20.38,11.57,30.48,18.91,0.1,65.3
520010,ABADIANIA,2023-06,20.79,12.59,30.83,18.24,0.2,57.4
520010,ABADIANIA,2023-07,21.81,11.43,32.01,20.58,0.0,46.8
520010,ABADIANIA,2023-08,24.49,15.09,35.64,20.55,0.7,40.5
520010,ABADIANIA,2023-09,27.26,16.75,37.51,20.76,0.8,42.7
520010,ABADIANIA,2023-10,27.21,18.99,37.41,18.42,2.4,58.1
520010,ABADIANIA,2023-11,27.23,17.72,39.0,21.28,3.8,56.5
520010,ABADIANIA,2023-12,26.31,18.77,35.97,17.2,3.8,62.0
520010,ABADIANIA,2023-13,23.65,11.43,39.0,27.57,2.6,63.0
520010,ABADIANIA,2024-01,23.51,17.25,31.45,14.2,6.0,80.2
520010,ABADIANIA,2024-02,23.03,16.84,31.93,15.09,4.7,79.6
520010,ABADIANIA,2024-03,24.57,18.66,32.92,14.26,4.8,77.3
