modelo,MAE,RMSE,R2,MAPE_pct,Pearson_r,Spearman_rho,MAE_cv
Poisson_GLM,0.0135,0.02803,0.0343,120.4,0.3895,0.4247,0.009788
Random_Forest,0.01112,0.02535,0.2098,129.54,0.5154,0.5116,0.008636
GradientBoosting,0.01161,0.02706,0.1,110.15,0.4721,0.4665,0.009467
XGBoost,0.01084,0.02585,0.1783,94.52,0.4958,0.5038,0.008268
