model,feature,importance
Poisson_GLM,baseline_srag_municipio,0.673093
Poisson_GLM,year_trend,0.455387
Poisson_GLM,month_sin,0.331411
Poisson_GLM,month_cos,0.045551
Poisson_GLM,fase_covid,0.455387
Poisson_GLM,meteo_temp_media,0.292304
Poisson_GLM,meteo_temp_min,0.526483
Poisson_GLM,meteo_temp_max,0.232989
Poisson_GLM,meteo_temp_amplitude,0.187956
Poisson_GLM,meteo_precipitacao,0.204621
Poisson_GLM,meteo_umidade,0.576931
Poisson_GLM,fogo_pct_territorio,0.119154
Poisson_GLM,mapbiomas_pct_forest,0.159739
Poisson_GLM,mapbiomas_pct_non_forest_natural,0.175954
Poisson_GLM,mapbiomas_pct_non_vegetated,0.022084
Poisson_GLM,mapbiomas_pct_water,0.22443
Random_Forest,baseline_srag_municipio,0.384194
Random_Forest,year_trend,0.054723
Random_Forest,month_sin,0.001199
Random_Forest,month_cos,0.001356
Random_Forest,fase_covid,0.078707
Random_Forest,meteo_temp_media,0.026934
Random_Forest,meteo_temp_min,0.0303
Random_Forest,meteo_temp_max,0.029324
Random_Forest,meteo_temp_amplitude,0.027403
Random_Forest,meteo_precipitacao,0.025221
Random_Forest,meteo_umidade,0.008727
Random_Forest,fogo_pct_territorio,0.040433
Random_Forest,mapbiomas_pct_forest,0.04652
Random_Forest,mapbiomas_pct_non_forest_natural,0.034827
Random_Forest,mapbiomas_pct_non_vegetated,0.160393
Random_Forest,mapbiomas_pct_water,0.049739
XGBoost,baseline_srag_municipio,0.12412600219249725
XGBoost,year_trend,0.18727099895477295
XGBoost,month_sin,0.026246000081300735
XGBoost,month_cos,0.0306829996407032
XGBoost,fase_covid,0.24754300713539124
XGBoost,meteo_temp_media,0.025092000141739845
XGBoost,meteo_temp_min,0.025843000039458275
XGBoost,meteo_temp_max,0.03342700004577637
XGBoost,meteo_temp_amplitude,0.030883999541401863
XGBoost,meteo_precipitacao,0.03309600055217743
XGBoost,meteo_umidade,0.017846999689936638
XGBoost,fogo_pct_territorio,0.028139999136328697
XGBoost,mapbiomas_pct_forest,0.037741001695394516
XGBoost,mapbiomas_pct_non_forest_natural,0.039694998413324356
XGBoost,mapbiomas_pct_non_vegetated,0.07659099996089935
XGBoost,mapbiomas_pct_water,0.035773999989032745
