,median
mapbiomas_pct_farming,71.3619625
mapbiomas_pct_forest,25.4197125
mapbiomas_pct_non_forest_natural,0.49718750000000006
mapbiomas_pct_non_vegetated,0.4670875
mapbiomas_pct_water,0.36015833333333336
fogo_pct_territorio,0.19315
meteo_temp_media,25.123333333333335
meteo_temp_min,17.503333333333334
meteo_temp_max,35.03666666666667
meteo_temp_amplitude,18.276666666666667
meteo_precipitacao,2.0
meteo_umidade,64.85
month_sin,-9.020562075079397e-17
month_cos,-2.7755575615628914e-17
fase_covid,1.0
baseline_srag_municipio,0.014697315025957749
year_trend,0.4999999999375
