cod_mun;Município;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
520915;GOUVELANDIA;220,59;273,53;167,65;172,09;149,09;86,15;110;71,43;126,83;102,08;110,42;163,46;195,65
520920;GUAPO;108,47;125,42;139,55;129,38;136,17;108,52;76,68;103,63;65,02;79,05;111,9;120,44;127,83
520929;GUARAITA;105;115;160;78,79;138,46;115;127,78;116,67;81,82;108,7;34,78;135,71;68
520940;GUARANI DE GOIAS;168,57;122,86;162,86;114,71;131,25;203,23;125;88,46;129,03;110;140;114,29;104,17
520945;GUARINOS;106,25;168,75;112,5;188,89;112,5;117,39;100;119,23;62,5;127,78;166,67;141,67;166,67
520960;HEITORAI;140;111,43;114,29;113,33;109,09;80,85;47,22;100;51,72;262,5;162,5;38;78,38
520970;HIDROLANDIA;98,57;116,67;129,52;133,8;87,12;97,1;83,28;94,53;99,41;109,33;97;112,28;100,61
520980;HIDROLINA;97,5;85;112,5;127,27;117,14;92,5;102,56;102,56;93,18;84,62;67,31;86,49;129,17
520990;IACIARA;121,7;117,02;78,3;104,07;85,42;98,99;95,19;86,1;77,07;86,79;85,53;126,83;87,43
520993;INACIOLANDIA;102,5;87,5;113,75;103,7;164,29;97,62;89,74;128,21;101,47;113,79;132,76;127,45;80,6
520995;INDIARA;156,74;114,18;126,95;132,41;122,61;27,9;76;57,2;64,38;91,35;88,46;57,26;86,22
521000;INHUMAS;86,73;89,74;93,97;100,82;120,5;46,75;57,49;58,49;83,1;107,81;83,21;87,61;82,88
521010;IPAMERI;90,22;154,89;94,64;122;117,34;102,27;85,67;93,31;87,68;87,97;84,81;92,93;98,38
521015;IPIRANGA DE GOIAS;96,97;81,82;84,85;132;80;157,89;141,38;106,9;61,29;108,7;52,17;51,52;159,26
521020;IPORA;107,52;108,64;104,18;170,64;91,12;97,16;102,23;99,26;97,88;74,77;87,84;86,46;79,01
521030;ISRAELANDIA;126,09;108,7;113,04;172;73,08;122,73;120;84;113,64;69,23;76,92;50;100
521040;ITABERAI;125,73;162,08;148,53;135,69;125,05;81,88;105,92;101,15;103,62;99,49;105,1;107,22;110,65
521056;ITAGUARI;144,64;128,57;112,5;150;158,18;110,34;195,92;126,53;111,86;71,62;72,97;90,16;108
521060;ITAGUARU;112,5;118,75;120,83;166,67;158,7;145,24;76,92;94,23;88,64;120;106,67;182,05;92,45
521080;ITAJA;150;237,5;170;73,42;106,58;80;95,45;86,36;86,27;166,67;115,38;106;109,26
521090;ITAPACI;92,95;91,99;80,77;137,5;127,61;93,31;84,95;77,74;102,66;88,61;52,22;82,23;83,11
521100;ITAPIRAPUA;83,33;89,58;100;107,92;120,62;90,91;84,88;138,37;94,17;58,82;15,13;97,14;43,04
521120;ITAPURANGA;106,5;104,33;101,55;102,52;95;97,39;87,16;82,99;96,89;96,15;54,14;107,26;80,13
521130;ITARUMA;86,46;138,54;69,79;118,46;100;96,2;71,43;71,43;55,79;132,14;151,79;86,73;88,76
521140;ITAUCU;114,47;103,95;96,05;134,21;213,24;140,28;110,84;100;120,83;113,16;111,84;95,96;86,9
521150;ITUMBIARA;103,3;96,77;91,55;114,53;94,98;43,6;58,77;77,2;90,46;89,33;37,05;71,32;80,62
521160;IVOLANDIA;113,04;186,96;91,3;127,59;80,77;108;108;100;74,07;146,67;253,33;104,76;90,48
521170;JANDAIA;92,41;72,15;78,48;176,12;91,67;83,82;131,25;93,75;87,67;79,73;108,11;91,67;109,52
521180;JARAGUA;96,11;101,18;104,05;140,44;116,47;92,24;80,03;78,85;91,59;80,21;55,59;67,37;74,05
521190;JATAI;130,69;114,18;115,46;127,46;130,8;100,33;91,11;90,31;97,68;93,47;82,8;78,16;93,15
521200;JAUPACI;123,81;171,43;138,1;177,42;92,86;88,89;100;68,57;136;114,71;102,94;116,67;83,33
521205;JESUPOLIS;115,15;90,91;142,42;60,61;67,57;86,67;137,5;116,67;100;154,55;168,18;44;157,89
521210;JOVIANIA;96,88;96,88;87,5;84,69;108,05;91,57;104,88;71,95;117,65;71,57;50,98;102,35;59,8
521220;JUSSARA;70,26;187,5;99,14;98,76;41,76;93,6;81,55;100;94,66;86,91;53,82;96,08;152,97
521225;LAGOA SANTA;120;240;140;142,11;104,76;160;155,56;105,56;55;86,67;120;150;254,55
521230;LEOPOLDO DE BULHOES;102,56;101,28;78,21;166,2;78,95;138,03;67,33;56,44;115,53;116,84;114,74;84,11;107,61
521250;LUZIANIA;97,24;129,39;107,68;119,05;123,08;73,41;72,72;75,78;83,96;91,53;84,42;89,04;97,46
521260;MAIRIPOTABA;153,85;223,08;192,31;315,38;168,18;103,7;140;104;140,91;80;76,67;176,19;67,86
521270;MAMBAI;110,75;117,2;116,13;233,71;100,9;73,81;130,09;114,16;97,35;97,56;117,07;91,33;150,81
521280;MARA ROSA;90,84;106,11;70,23;109,93;173,85;157,03;96,15;77,69;109,82;99,2;98,4;76,61;74,8
521290;MARZAGAO;129,41;182,35;147,06;133,33;64,71;121,88;163,33;106,67;97,06;89,47;57,89;93,75;70,73
521295;MATRINCHA;118;84;112;106,78;178,43;79,31;91,67;102,08;93,02;115,56;88,89;137,25;85,48
521300;MAURILANDIA;96,79;95,41;86,24;88,83;82,24;74,6;74,75;46,97;66,67;104,03;62,42;79,88;87,88
521305;MIMOSO DE GOIAS;240;110;260;188,89;273,33;160;135;125;86,36;117,65;164,71;129,17;127,78
521308;MINACU;98,77;69,96;88,89;105,56;118,12;91,24;79,96;80,18;77,65;75,64;69,84;79,27;99,46
521310;MINEIROS;109,23;122,54;148,8;153,58;151,83;135,02;85,6;63,42;85,75;82,41;75,97;62,73;78,52
521340;MOIPORA;105,88;123,53;64,71;260;76,92;250;156,25;87,5;45;260;300;118,75;100
521350;MONTE ALEGRE DE GOIAS;74,29;50;51,43;110,19;143,4;76,92;84,68;68,55;53,91;100;94,51;48,48;102,2
521370;MONTES CLAROS DE GOIAS;177,59;160,34;201,72;126,79;103,16;101,09;121,05;95,79;131,71;86,96;86,96;102,11;113,64
521375;MONTIVIDIU;107,05;132,05;128,85;138,26;195,95;119,75;95,41;81,12;103,35;94,01;87,43;167,02;128,76
521377;MONTIVIDIU DO NORTE;111,76;64,71;164,71;97,73;177,42;100;77,42;122,58;52,63;118,92;54,05;50;75
521380;MORRINHOS;95,41;84,7;97,32;95,64;102,44;96,05;91,98;84,57;109,35;96,68;94,47;93,87;84,33
521385;MORRO AGUDO DE GOIAS;113,64;109,09;150;174,29;183,33;90;125;108,33;77,78;100;138,1;90,91;96,88
521390;MOSSAMEDES;94,87;87,18;92,31;142,86;109,09;134,88;135,56;106,67;77,97;128,26;65,22;130,23;91,67
521400;MOZARLANDIA;111,22;110,24;102,44;133,18;116,82;114,66;117,62;107,77;131,07;97,26;114,61;56,67;76,33
521405;MUNDO NOVO;86,25;75;85;92,75;102,82;85,14;141,1;108,22;119,18;115,79;150;70,97;110,45
521410;MUTUNOPOLIS;97,83;113,04;82,61;76,92;98;53,57;53,7;88,89;66,67;89,13;67,39;125;50,98
521440;NAZARIO;131,4;105,81;100;152,11;173,96;66,98;84,21;95,79;81,52;91,75;23,71;136,47;94,68
521450;NEROPOLIS;117,14;134,29;114,86;143,49;151,5;110;94,3;106,36;91,56;80,08;96,06;74,46;82,19
521460;NIQUELANDIA;176,86;122,82;132,96;177,34;126,4;72,22;71,62;69,31;78,17;88,72;66,59;104,04;84,06
521470;NOVA AMERICA;132,14;89,29;132,14;250;300;90,91;148,15;66,67;120;118,52;133,33;110,34;91,43
521480;NOVA AURORA;140;130;135;120,83;110;83,33;182,35;129,41;83,33;48;68;125;314,29
521483;NOVA CRIXAS;83,94;67,88;75,65;82,18;96,36;92,44;105,13;103,21;80,98;110,98;98,17;82,39;74,68
521486;NOVA GLORIA;103,45;111,49;95,4;130,12;97,7;107,95;98,92;100;73,47;82,22;78,89;147,37;62,16
521487;NOVA IGUACU DE GOIAS;121,21;124,24;118,18;125;193,1;124,14;116,22;94,59;100;123,08;107,69;244,44;137,5
521490;NOVA ROMA;131,58;110,53;57,89;106,06;83,87;68,18;166,67;106,67;58,33;108,11;78,38;74,07;129,03
521500;NOVA VENEZA;91,11;126,67;108,89;154,74;121,43;90,7;122,33;89,32;106,19;114,29;87,5;154,65;93,81
521520;NOVO BRASIL;80;93,33;106,67;115,62;102,78;122,58;73,47;89,8;59,62;153,33;106,67;57,45;83,33
521523;NOVO GAMA;101,22;121,01;135,86;109,22;163,05;73,14;63,05;71,09;75,5;84,17;75,95;76,59;76,41
521525;NOVO PLANALTO;164,91;75,44;75,44;106,82;59,57;41,03;118,18;60,61;87,5;65,57;44,26;72,97;141,86
521530;ORIZONA;94,23;86,54;116,03;187,23;99,39;101,96;104,09;92,98;87,3;74,02;69,12;91,24;66,06
521540;OURO VERDE DE GOIAS;130;133,33;123,33;161,54;111,36;90;110;83,33;178,38;94,12;98,04;108,93;74,47
521550;OUVIDOR;98,44;109,38;126,56;105,36;156,25;114,71;116,18;92,65;101,37;140;112;132,14;73,91
521560;PADRE BERNARDO;119,12;104,41;81,13;125,48;155,81;80,79;89,51;87,5;89,55;67,89;58,62;45,65;67,24
521565;PALESTINA DE GOIAS;110,26;92,31;97,44;83,33;82,35;87,8;115,91;75;117,95;60,38;54,72;107,5;115,15
521570;PALMEIRAS DE GOIAS;106,23;96,7;100;121,99;183,21;33,64;90,88;90,35;92,84;103,96;59,41;98,37;66,67
521580;PALMELO;81,82;109,09;90,91;91,67;123,81;105;169,23;169,23;135;165;145;76,19;90
521590;PALMINOPOLIS;137,93;127,59;103,45;300;63,16;102,44;104,55;120,45;109,3;86,05;97,67;129,17;60,32
521600;PANAMA;93,94;90,91;118,18;143,75;127,27;147,62;90;62,5;103,45;126,92;100;148,15;106,67
521630;PARANAIGUARA;115,6;126,61;100;115,87;99,26;104,35;87,9;91,13;120,91;87,5;96,15;96,77;92,77
521640;PARAUNA;104,29;112,86;97,86;83,12;101,38;96,21;102,74;102,05;85,71;88,48;80;99,34;88,34
521645;PEROLANDIA;132,43;151,35;127,03;95,74;80,85;104,65;89,13;93,48;102,7;87,5;81,25;71,11;67,39
521680;PETROLINA DE GOIAS;104,55;86,36;85,23;151,19;96,88;100;111,76;104,71;86,42;121,79;93,59;100;85,9
521690;PILAR DE GOIAS;83,33;108,33;104,17;90,32;129,63;128;39,47;86,84;94,44;55,26;89,47;44,12;72,5
521710;PIRACANJUBA;93,48;83,7;87,32;113,67;120,74;91,41;113,66;98,68;110,8;100,82;111,43;117,02;98,73
521720;PIRANHAS;110,53;137,72;101,75;89,23;153,15;119,3;92,65;88,24;99,25;88,8;76;110,19;95,28
521730;PIRENOPOLIS;83,39;82,11;95,53;96,52;119,05;101,49;98,91;91,67;87,1;103,56;80,78;58,63;77,98
521740;PIRES DO RIO;109,88;105,86;110,19;104,31;90,76;101,73;110,99;101,97;102,89;111,62;104,28;92,75;95,17
521760;PLANALTINA;111,5;112,07;139,79;154,65;124,9;106,14;108,63;98,66;89,92;85,21;50,12;84,88;89,6
521770;PONTALINA;115,76;96,36;101,82;86,96;146,28;64,98;68,14;79,9;92,65;88,41;86,96;105,85;115,93
521800;PORANGATU;95,5;117,39;99,1;135,31;83,2;64,51;79,71;69,39;77,93;125,09;81,98;60,59;70,13
521805;PORTEIRAO;105,66;105,66;96,23;111,11;230;130,23;168,42;128,95;114,58;100;90,57;89,8;134,15
521810;PORTELANDIA;70,59;62,35;45,88;101,64;100;77,03;46,15;46,15;72,55;86,49;24,32;36,17;91,89
521830;POSSE;112,7;105,64;105,82;122,54;138,43;55,08;56,57;58,1;81,37;93,69;89,42;67,94;98,49
521839;PROFESSOR JAMIL;186,36;186,36;127,27;190;200;96,88;185,71;110,71;150;72,09;37,21;60,87;133,33
521850;QUIRINOPOLIS;153,61;189,69;154,64;151,69;111,87;94,9;90,46;75,21;89,8;96,59;85,89;64,21;67,27
521860;RIALMA;90,91;81,12;99,3;86,9;102,27;97,62;105,33;67,33;81,99;98,73;88,61;114,49;69,83
521870;RIANAPOLIS;92,54;80,6;98,51;90,28;135,09;117,91;110,45;79,1;87,1;132,14;62,5;72,22;83,33
521878;RIO QUENTE;117,14;108,57;162,86;105,66;110,64;125,58;113,64;120,45;107,84;131,03;112,07;98,04;126,09
521880;RIO VERDE;102,65;116,25;111,19;100,23;102,81;90,63;88,37;90,37;87,62;93,06;87,69;81,96;87,96
521890;RUBIATABA;58,56;101,8;89,19;184,97;122,87;88,64;97,29;90,5;81,92;88,03;103,42;66,54;85,23
521900;SANCLERLANDIA;104,71;180;94,12;122,73;125;46,43;73,08;98,72;109,52;102,08;95,83;100;81,11
521910;SANTA BARBARA DE GOIAS;104;117,33;162,67;200;115,66;104,4;79,82;99,12;100;84,95;96,77;40,86;111,76
521920;SANTA CRUZ DE GOIAS;100;118,18;90,91;111,54;81,48;93,1;107,69;42,31;169,23;97,14;77,14;96,43;53,33
521925;SANTA FE DE GOIAS;93,55;106,45;124,19;166,67;114,29;80,33;120;88,75;140,91;73,17;104,88;57,83;127,78
521930;SANTA HELENA DE GOIAS;87,22;87,42;87,22;118,26;135,79;96,48;86,14;80,76;104,24;96,56;79,93;95,11;80,04
521935;SANTA ISABEL;140;153,33;123,33;128,57;136,11;90,62;109,38;93,75;65,85;108,57;102,86;79,07;105,71
