cod_mun;Município;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
520860;GOIANESIA;103,7;111,65;89,7;99,11;87,83;97,75;102,14;99,25;86,45;68,86;72,69;59,1;78,8
520870;GOIANIA;102,67;92,2;84,8;96,17;89,24;84,08;77,55;70,34;76,76;53,24;76,38;76,08;61,61
520880;GOIANIRA;111,49;141,84;119,77;124,15;117,04;120,22;99,33;107,53;97,37;71,43;68,35;84,96;98,16
520890;GOIAS;98,46;85,54;57,85;98,96;73,63;58,9;29,17;61,86;72,08;60,36;66,79;48,8;74,77
520910;GOIATUBA;96,39;95,49;98,65;101,19;81,26;90,72;87,56;94,13;90,16;71,46;67,98;68,88;82,26
520915;GOUVELANDIA;217,65;188,24;179,41;186,05;145,45;113,85;82,86;90;163,41;85,42;131,25;119,23;102,17
520920;GUAPO;105,65;122,6;108,47;117,51;94,68;106,82;63,21;100;66,5;57,14;90;80,44;100,94
520929;GUARAITA;115;120;140;78,79;73,08;100;138,89;188,89;181,82;160,87;108,7;128,57;48
520940;GUARANI DE GOIAS;134,29;154,29;120;117,65;121,88;277,42;88,46;105,77;141,94;110;190;140,48;93,75
520945;GUARINOS;112,5;131,25;112,5;166,67;91,67;104,35;130,77;88,46;90,62;100;161,11;116,67;166,67
520960;HEITORAI;120;122,86;102,86;160;106,06;85,11;63,89;97,22;106,9;175;120,83;44;97,3
520970;HIDROLANDIA;85,71;93,81;110;122,54;43,35;98,91;75,56;79,42;85,63;78,33;88,67;92,22;88,18
520980;HIDROLINA;87,5;127,5;80;106,06;125,71;105;110,26;82,05;86,36;65,38;75;62,16;150
520990;IACIARA;98,3;70,64;57,87;116,28;79,69;104,52;90,37;86,63;100;70,44;70,44;156,1;81,71
520993;INACIOLANDIA;80;128,75;120;149,38;159,52;91,67;101,28;123,08;108,82;86,21;143,1;119,61;97,01
520995;INDIARA;149,65;109,93;84,4;98,15;86,43;30,47;66,4;59,2;82,4;65,87;94,71;63,68;84,18
521000;INHUMAS;89,74;97,44;87,18;89,45;116,07;58,58;55,35;61,48;90,03;73,05;78,94;86,42;73,69
521010;IPAMERI;104,73;104,73;84,86;96,33;103,32;104,22;94,59;78,98;76,54;61,32;80,8;77,49;88,67
521015;IPIRANGA DE GOIAS;72,73;115,15;103,03;64;92;200;148,28;100;80,65;95,65;121,74;42,42;188,89
521020;IPORA;104,46;107,24;98,05;159,63;75,89;95,87;104,22;102,23;87,53;65,77;79,05;88,86;73,66
521030;ISRAELANDIA;65,22;121,74;95,65;132;96,15;131,82;88;104;118,18;42,31;84,62;60,71;83,33
521040;ITABERAI;115,58;131,6;85,1;90,33;75,33;95,65;75,19;72,71;67,45;62,76;59,35;100,86;102,41
521056;ITAGUARI;98,21;125;101,79;179,63;150,91;162,07;197,96;214,29;133,9;87,84;70,27;90,16;100
521060;ITAGUARU;114,58;112,5;120,83;216,67;84,78;123,81;92,31;115,38;125;91,11;131,11;100;69,81
521080;ITAJA;130;177,5;152,5;73,42;78,95;80;89,39;72,73;107,84;105,13;112,82;118;92,59
521090;ITAPACI;94,23;77,88;75,64;144,7;113,81;83,95;89,34;76,18;102,28;62,66;60,13;65,16;68,21
521100;ITAPIRAPUA;165,62;193,75;96,88;103,96;113,4;98,86;72,09;100;73,33;50,42;36,97;82,86;84,81
521120;ITAPURANGA;100,93;100,93;88,54;92,43;88,33;99,67;83,88;74,63;75,99;78,4;54,44;77,23;65,15
521130;ITARUMA;87,5;59,38;66,67;121,54;101,27;116,46;74,29;60,95;66,32;125;137,5;60,2;60,67
521140;ITAUCU;123,68;111,84;98,68;152,63;219,12;127,78;97,59;120,48;101,39;63,16;119,74;88,89;98,81
521150;ITUMBIARA;99,16;98,54;73,81;110,57;90,64;57,44;59,74;72,28;92,49;58,82;71,97;75,31;63,33
521160;IVOLANDIA;82,61;104,35;121,74;93,1;46,15;100;108;84;62,96;106,67;213,33;104,76;133,33
521170;JANDAIA;86,08;88,61;82,28;147,76;72,22;102,94;100;129,69;98,63;60,81;108,11;84,72;79,37
521180;JARAGUA;115,54;96,11;94,93;98,65;91,43;87,3;71,6;68,64;83,19;57,31;59,38;64,21;70,42
521190;JATAI;101,28;99,02;79,49;117,83;106,08;96,67;82,75;77,01;91,95;67,33;77,4;68,71;78,48
521200;JAUPACI;133,33;152,38;161,9;141,94;80,95;111,11;85,71;80;136;79,41;79,41;104,76;86,11
521205;JESUPOLIS;121,21;127,27;127,27;72,73;83,78;110;133,33;116,67;115,38;86,36;104,55;48;94,74
521210;JOVIANIA;76,04;103,12;88,54;96,94;88,51;101,2;78,05;86,59;105,88;60,78;95,1;74,12;60,78
521220;JUSSARA;93,1;104,31;101,29;109,5;55,68;93,2;82,29;95,2;89,69;57,82;66,91;84,31;76,27
521225;LAGOA SANTA;100;190;120;115,79;123,81;166,67;138,89;155,56;65;113,33;140;210;281,82
521230;LEOPOLDO DE BULHOES;91,03;78,21;97,44;132,39;85,26;118,31;66,34;62,38;88,35;73,68;111,58;92,52;90,22
521250;LUZIANIA;103,77;104,52;75,87;110,93;96,09;75,17;67,98;75,32;75,26;41,76;72,79;77,4;83,62
521260;MAIRIPOTABA;169,23;184,62;207,69;461,54;100;155,56;108;108;140,91;73,33;83,33;85,71;82,14
521270;MAMBAI;108,6;82,8;103,23;157,3;92,79;121,43;103,54;115,04;89,38;73,98;77,24;95,33;101,61
521280;MARA ROSA;93,89;95,42;82,44;82,27;121,54;195,31;83,85;82,31;92,86;92,8;97,6;63,16;92,13
521290;MARZAGAO;141,18;176,47;152,94;116,67;94,12;93,75;153,33;123,33;129,41;78,95;81,58;100;85,37
521295;MATRINCHA;96;118;66;106,78;182,35;67,24;122,92;118,75;125,58;97,78;93,33;117,65;91,94
521300;MAURILANDIA;85,32;95,41;94,04;126,82;78,5;82,54;71,72;61,11;76,47;77,18;97,32;50,61;61,21
521305;MIMOSO DE GOIAS;270;230;220;166,67;173,33;153,33;135;165;95,45;100;211,76;79,17;111,11
521308;MINACU;97,33;90,12;100;102;102,24;111,24;78,4;73,05;67,28;55,22;60,79;87,14;75,14
521310;MINEIROS;91,13;117,75;93,41;135,25;165,92;263,35;76,03;65,03;76,92;47,4;72,58;58,3;76,94
521340;MOIPORA;94,12;76,47;70,59;180;84,62;412,5;125;43,75;55;160;260;100;118,75
521350;MONTE ALEGRE DE GOIAS;67,14;62,86;62,14;74,07;85,85;93,16;76,61;60,48;69,57;89,01;71,43;65,66;104,4
521370;MONTES CLAROS DE GOIAS;194,83;220,69;153,45;100,89;92,63;111,96;126,32;104,21;132,93;71,3;83,48;98,95;112,5
