cod_mun;Município;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
520540;CERES;29,96;94,67;75,61;81,65;70,14;61,67;70,17;48,47;17,34;20,97
520545;CEZARINA;22,41;63,85;60,16;73,39;80,65;60,83;66,36;65,42;25,22;27,66
520547;CHAPADAO DO CEU;44,92;34,94;48,81;85,03;61,68;52,41;76,96;69,63;10,94;25,42
520549;CIDADE OCIDENTAL;33,26;90,87;105,71;75,91;72,19;84,78;94,35;53,28;2,89;31,78
520551;COCALZINHO DE GOIAS;53,96;55,17;69,81;145,18;101,32;96,52;106,07;89,72;5,49;19,14
520552;COLINAS DO SUL;22,5;139,02;41,3;89,47;113,16;132,5;122,45;20,41;29,03;36,11
520570;CORREGO DO OURO;12;158,33;60,87;105,88;70,59;53,57;75;62,5;17,14;32
520580;CORUMBA DE GOIAS;61,05;40,2;47,75;98,08;82,69;111,36;116;61;13,54;33,67
520590;CORUMBAIBA;32,71;63,3;82,29;105,88;64,71;76,04;88,78;70,41;14,63;37,89
520620;CRISTALINA;33,09;51,43;52,06;96,34;88,55;66,78;100,55;78,11;10,81;21,02
520630;CRISTIANOPOLIS;25,81;53,57;37,5;126,32;50;44;91,67;55,56;0;30,77
520640;CRIXAS;54,88;82,14;61,03;81,74;61;70,05;70,78;30,45;7,85;12,84
520650;CROMINIA;64,71;130,43;1,67;155,56;86,11;78,79;103,23;74,19;21,74;30,95
520660;CUMARI;41,67;37,5;34,62;89,19;48,65;109,52;70,97;83,87;0;25
520670;DAMIANOPOLIS;74,19;33,33;62,5;76,92;80,77;110,87;104,35;78,26;0;20
520680;DAMOLANDIA;67,57;93,1;41,38;140;96;77,14;67,74;93,55;25;16,67
520690;DAVINOPOLIS;50;52,94;31,25;190,91;172,73;93,75;50;50;75;78,57
520710;DIORAMA;80;44,44;55,56;96,55;44,83;62,5;95,24;100;13,64;28,57
520725;DOVERLANDIA;25;102,63;77,05;82,47;71,13;46,39;140,91;84,85;31,25;27,94
520735;EDEALINA;84,78;37,25;80,85;43,24;72,97;62;60,78;80,39;28,57;66,67
520740;EDEIA;34,21;14,86;29,86;120,16;70,97;45,04;64,43;40,94;19,88;23,95
520750;ESTRELA DO NORTE;62,5;45,83;22,22;106,67;93,33;105,26;74,55;40;6,9;21,88
520753;FAINA;6,67;100;22,95;100;52,46;77,05;65,82;43,04;12,5;10,94
520760;FAZENDA NOVA;40,82;24,24;54,55;79,59;71,43;69,39;81,25;75;7,84;15,25
520780;FIRMINOPOLIS;25,66;152,13;64,84;104,3;86,02;79,79;83,84;73,74;14,47;22,68
520790;FLORES DE GOIAS;23,71;50,54;20,35;193,48;75;112;72,17;35,65;19,42;14,85
520800;FORMOSA;23,71;101,98;78,64;96,4;69,43;52,24;62,81;38,5;7,27;9,95
520810;FORMOSO;11,54;43,86;19,35;91,07;94,64;82,69;32,76;62,07;5,63;11,94
520815;GAMELEIRA DE GOIAS;64;58,62;61,29;80;40;88,24;69,05;78,57;114,29;39,13
520830;DIVINOPOLIS DE GOIAS;44,12;119,39;69,35;73,86;63,64;59,76;109,38;46,88;14,75;0
520840;GOIANAPOLIS;53,96;29,38;73,81;122,22;76,61;87,37;87,92;70,05;10,29;38,3
520850;GOIANDIRA;67,5;49,3;55,77;126,32;107,89;103,64;88,37;67,44;14,81;28,57
520860;GOIANESIA;37,87;52,93;31,16;85,47;68,7;71,18;79,28;44,53;0,64;17,13
520870;GOIANIA;35,07;98,7;80,88;75,06;53,18;61,7;62,23;47,08;5,98;11,93
520880;GOIANIRA;31,54;73,08;44,04;103,49;84,81;68,08;92,53;74,29;8,29;25,1
520890;GOIAS;29,76;41,76;23,84;35,58;38,78;49,47;70;50;17,47;12,84
520910;GOIATUBA;36,34;98,87;52,94;83,33;73,24;68,65;76,33;47,1;16,39;16,36
520915;GOUVELANDIA;125,58;70,91;33,85;130;42,86;109,76;72,92;91,67;3,85;39,13
520920;GUAPO;30,51;165,43;50;75,13;68,91;25,12;61,9;72,38;4;18,4
520929;GUARAITA;24,24;38,46;70;144,44;94,44;45,45;91,3;121,74;28,57;16
520940;GUARANI DE GOIAS;73,53;106,25;145,16;123,08;92,31;112,9;140;110;21,43;41,67
520945;GUARINOS;111,11;112,5;78,26;142,31;115,38;59,38;127,78;105,56;41,67;16,67
520960;HEITORAI;23,33;9,09;25,53;72,22;44,44;31,03;162,5;79,17;6;8,11
520970;HIDROLANDIA;19,72;20,17;47,46;81,99;52,41;63,64;103,33;72,33;11,08;20,61
520980;HIDROLINA;24,24;94,29;57,5;110,26;84,62;72,73;65,38;36,54;13,51;37,5
520990;IACIARA;26,16;27,08;48,24;89,3;84,49;46,5;62,26;45,28;0;11,43
520993;INACIOLANDIA;28,4;46,43;54,76;87,18;85,9;91,18;113,79;96,55;29,41;11,94
520995;INDIARA;37,5;135,68;21,03;64,8;48,4;38,63;68,27;62,02;3,85;17,35
521000;INHUMAS;18,49;102,49;15,53;54,07;28,25;58,86;82,33;60,82;6,57;16,96
521010;IPAMERI;13,33;76,38;102,6;93,31;62,42;52,79;69,05;61,6;21,22;29,45
521015;IPIRANGA DE GOIAS;24;80;78,95;110,34;110,34;67,74;91,3;34,78;12,12;22,22
521020;IPORA;43,73;23,6;47,55;102,48;84,86;66,35;63,51;56,08;13,76;26,95
521030;ISRAELANDIA;64;50;59,09;140;96;104,55;61,54;46,15;7,14;5,56
521040;ITABERAI;19,52;46,33;28,08;100,38;61,83;64,74;69,39;55,78;13,4;19,42
521056;ITAGUARI;29,63;69,09;74,14;167,35;67,35;100;77,03;50;18,03;36
521060;ITAGUARU;94,44;32,61;45,24;113,46;73,08;65,91;108,89;106,67;5,13;13,21
521080;ITAJA;22,78;23,68;43,75;101,52;48,48;56,86;138,46;69,23;16;31,48
521090;ITAPACI;71,59;77,24;24,75;84,95;64,89;59,7;75,95;50,32;9,06;12,25
521100;ITAPIRAPUA;14,85;103,09;10,23;53,49;105,81;39,17;52,1;21,01;20;8,86
521120;ITAPURANGA;35,96;31;42,67;121,49;61,49;55,37;79,59;43,2;6,93;8,14
521130;ITARUMA;53,85;30,38;49,37;70,48;53,33;42,11;116,07;91,07;21,43;24,72
521140;ITAUCU;60,53;95,59;56,94;131,33;34,94;100;85,53;73,68;5,05;23,81
521150;ITUMBIARA;29,53;183,15;20,95;42,69;46,02;51,01;74,24;48,55;4,58;8,98
521160;IVOLANDIA;72,41;23,08;36;92;112;37,04;133,33;106,67;4,76;19,05
521170;JANDAIA;58,21;25;29,41;123,44;68,75;54,79;71,62;52,7;6,94;31,75
521180;JARAGUA;20,47;65,57;37,04;81,07;61,69;66,2;72,46;49,05;1,75;18,7
521190;JATAI;35,03;91,63;62,48;85,7;57,42;55,77;70,07;58,4;4,22;7,9
521200;JAUPACI;90,32;123,81;38,89;88,57;51,43;84;97,06;88,24;88,1;88,89
