cod_mun;Município;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
520460;CAMPESTRE DE GOIAS;60,71;215,15;185,71;108,93;106;108;110,64;188,24;205,88;123,81;104,44
520465;CAMPINACU;5,71;100;18,6;73,81;62,79;65,12;87,5;97,37;89,47;136;85
520470;CAMPINORTE;36,09;122,22;93,71;102,53;103,09;100;104,14;86,49;96,62;104,73;107,63
520480;CAMPO ALEGRE DE GOIAS;45,28;98,63;96,3;82,19;96,77;108,06;83,58;76,06;126,76;75,86;91,89
520485;CAMPO LIMPO DE GOIAS;50;187,23;84,91;140,7;35,14;75,68;114,91;54,17;79,86;121,15;81,82
520490;CAMPOS BELOS;28,03;99,42;100,61;85,04;91,25;88,05;93,97;53,17;75,23;80,71;86,69
520495;CAMPOS VERDES;29,21;163,89;150;120,41;112,96;75,93;164,29;58,33;101,67;97,96;101,89
520500;CARMO DO RIO VERDE;27,08;165,85;105,49;93,39;81,68;90,08;72,8;86,67;70;60,75;79,59
520505;CASTELANDIA;50,94;75,93;102,56;146,88;175;164,29;109,38;102,94;144,12;92,5;102,86
520510;CATALAO;39,7;90,87;87,09;78,05;87,4;82,21;78,81;68,29;82,49;78,21;74,04
520520;CATURAI;42,86;204,26;126,42;150;139,62;118,87;147,37;101,64;119,67;128,57;72,41
520530;CAVALCANTE;32,14;116,55;83,33;105,13;118,7;129,27;90;75;99,29;118,25;93,01
520540;CERES;39,65;102,64;91,39;94,31;92,09;86,69;94,08;78,98;61,36;61,3;82,26
520545;CEZARINA;52,94;98,28;85,38;77,34;79,84;64,52;77,5;75,7;104,67;59,13;79,79
520547;CHAPADAO DO CEU;78,3;215,25;103,61;119,64;105,99;108,98;93,58;59,16;72,25;86,72;77,54
520549;CIDADE OCIDENTAL;51,48;109,13;113,11;122,55;85,8;97,72;106,18;67,49;69,67;85,82;82,46
520551;COCALZINHO DE GOIAS;69,06;151,49;124,63;148,58;149,12;117,98;111,3;84,11;157,01;123,92;102,34
520552;COLINAS DO SUL;37,21;142,5;119,51;134,78;150;152,63;120;73,47;61,22;103,23;155,56
520570;CORREGO DO OURO;16,67;100;87,5;100;114,71;82,35;110,71;77,5;57,5;80;84
520580;CORUMBA DE GOIAS;38,89;128,42;100;89,19;101,92;101,92;125;65;121;100;103,06
520590;CORUMBAIBA;53,75;94,39;76,15;101,04;103,92;96,08;97,92;76,53;96,94;121,95;108,42
520620;CRISTALINA;35,41;121,66;106,55;103,5;105,67;98,58;103,56;96,92;105,83;94,14;85
520630;CRISTIANOPOLIS;30,56;122,58;146,43;90,62;84,21;97,37;148;47,22;122,22;100;89,74
520640;CRIXAS;49,78;106,05;96,88;99,49;88,8;84,65;91,79;61,32;46,09;83,88;81,65
520650;CROMINIA;7,69;261,76;204,35;45;113,89;83,33;115,15;106,45;132,26;152,17;83,33
520660;CUMARI;31,25;129,17;100;57,69;67,57;94,59;109,52;83,87;93,55;80,56;108,33
520670;DAMIANOPOLIS;42,22;158,06;121,43;106,25;69,23;76,92;113,04;78,26;134,78;101,67;103,64
520680;DAMOLANDIA;0;70,27;82,76;117,24;184;132;65,71;83,87;138,71;86,11;96,67
520690;DAVINOPOLIS;30,77;125;64,71;125;190,91;254,55;106,25;81,25;81,25;100;150
520710;DIORAMA;23,53;165;138,89;161,11;55,17;68,97;118,75;100;195,24;122,73;67,86
520725;DOVERLANDIA;11,86;97,06;109,21;132,79;106,19;59,79;92,78;95,45;100;112,5;133,82
520735;EDEALINA;65,22;132,61;90,2;80,85;54,05;159,46;80;66,67;109,8;121,43;94,44
520740;EDEIA;35,88;133,55;63,51;104,86;70,97;111,29;77,1;49,66;53,69;78,36;86,23
520750;ESTRELA DO NORTE;31,25;150;125;100;93,33;175,56;126,32;65,45;60;86,21;125
520753;FAINA;29,31;146,67;180,43;103,28;108,2;68,85;73,77;36,71;70,89;89,29;64,06
520760;FAZENDA NOVA;44,83;102,04;81,82;89,09;100;85,71;79,59;100;125;78,43;59,32
520780;FIRMINOPOLIS;35,23;76,11;127,66;116,48;118,28;94,62;117,02;68,69;97,98;144,74;111,34
520790;FLORES DE GOIAS;52,08;158,76;79,57;92,92;118,48;111,96;117,33;73,91;79,13;90,29;99,01
520800;FORMOSA;46,88;98,75;100,64;102,07;87,67;87,73;84,81;58,45;59,11;69,29;54,89
520810;FORMOSO;29,17;109,62;59,65;46,77;94,64;98,21;65,38;70,69;101,72;73,24;70,15
520815;GAMELEIRA DE GOIAS;23,53;164;110,34;119,35;82,86;82,86;117,65;42,86;107,14;131,43;67,39
520830;DIVINOPOLIS DE GOIAS;0;80,88;63,27;129,03;86,36;86,36;70,73;98,44;109,38;96,72;117,54
520840;GOIANAPOLIS;48,46;141,01;106,25;110,12;105,85;111,7;93,43;71,5;106,28;112,57;97,87
520850;GOIANDIRA;52,63;165;52,11;94,23;168,42;152,63;87,27;95,35;106,98;196,3;105,71
520860;GOIANESIA;42,11;98,78;87,72;97,53;102,14;98,5;82;68,76;73,86;59,84;78,8
520870;GOIANIA;44,65;94,54;87,76;83,46;77,53;72,8;81,08;56,08;74,86;72,64;61,59
520880;GOIANIRA;54,71;124,15;117,04;120,22;99,33;99,33;92,22;72,53;70,55;86,6;98,16
520890;GOIAS;16;98,96;73,26;58,36;29,17;60,58;73,5;71,07;74,29;54,22;74,77
520910;GOIATUBA;43,79;100,95;81,26;90,5;87,56;94,84;91,99;68,45;70,3;70,55;82,03
520915;GOUVELANDIA;47,06;186,05;145,45;113,85;82,86;72,86;126,83;60,42;129,17;121,15;102,17
520920;GUAPO;64,97;117,51;94,68;106,82;63,21;101,55;63,55;50,48;92,38;83,11;100,94
520929;GUARAITA;45;78,79;73,08;95;138,89;116,67;109,09;147,83;108,7;128,57;48
520940;GUARANI DE GOIAS;60;117,65;121,88;277,42;88,46;101,92;135,48;60;186,67;140,48;93,75
520945;GUARINOS;43,75;166,67;91,67;104,35;130,77;84,62;75;88,89;138,89;116,67;166,67
520960;HEITORAI;22,86;160;106,06;85,11;63,89;97,22;103,45;158,33;145,83;44;97,3
520970;HIDROLANDIA;50,48;117,37;43,35;98,91;75,56;76,85;82,7;82,67;97,67;94,91;88,18
520980;HIDROLINA;32,5;106,06;125,71;105;110,26;89,74;97,73;55,77;75;67,57;150
520990;IACIARA;22,98;116,28;79,69;104,52;90,37;80,75;89,17;69,81;70,44;157,72;81,71
520993;INACIOLANDIA;58,75;149,38;159,52;91,67;101,28;125,64;105,88;84,48;148,28;125,49;97,01
520995;INDIARA;52,48;83,33;86,43;30,47;66,4;58;81,97;65,38;95,67;64,96;84,18
521000;INHUMAS;48,72;89,45;116,07;58,58;55,35;62,48;85,46;75,55;83,51;88,36;73,69
521010;IPAMERI;16,72;95;102,21;104,22;94,59;83,44;78,59;64,47;81,66;78,46;88,67
521015;IPIRANGA DE GOIAS;48,48;64;92;200;148,28;89,66;70,97;82,61;121,74;42,42;188,89
521020;IPORA;45,13;159,33;75,89;95,87;104,22;100,74;87,76;67,34;76,8;89,3;73,66
521030;ISRAELANDIA;39,13;132;96,15;131,82;88;100;118,18;34,62;88,46;60,71;83,33
521040;ITABERAI;23,48;90,33;74,95;95,65;75,19;79,01;69,98;59,35;60,2;100,86;102,41
521056;ITAGUARI;35,71;179,63;150,91;162,07;197,96;151,02;94,92;78,38;67,57;90,16;100
521060;ITAGUARU;37,5;205,56;84,78;123,81;92,31;101,92;113,64;73,33;128,89;105,13;69,81
521080;ITAJA;60;73,42;78,95;80;89,39;72,73;101,96;128,21;123,08;120;92,59
521090;ITAPACI;20,51;144,32;113,43;83,95;89,34;73,35;102,66;65,82;60,44;65,51;68,21
521100;ITAPIRAPUA;36,46;103,96;113,4;98,86;72,09;108,14;65;44,54;37,82;85,71;84,81
521120;ITAPURANGA;41,18;92,43;87,67;99,67;83,88;79,1;83,05;83,14;53,55;79,21;65,15
521130;ITARUMA;35,42;120;101,27;116,46;74,29;59,05;71,58;125;142,86;62,24;60,67
521140;ITAUCU;25;152,63;219,12;127,78;97,59;116,87;100;68,42;119,74;92,93;98,81
521150;ITUMBIARA;24,5;110,57;90,64;57,44;59,74;73,11;94,44;59,78;68,94;70,58;63,33
521160;IVOLANDIA;56,52;93,1;46,15;100;108;76;70,37;66,67;213,33;104,76;133,33
521170;JANDAIA;32,91;147,76;72,22;102,94;100;117,19;94,52;63,51;109,46;84,72;79,37
521180;JARAGUA;32,09;97,29;91,43;87,3;71,6;70,41;82,84;58,18;60,24;65,44;70,42
521190;JATAI;34,01;117,76;105,7;96,54;82,75;77,47;91,13;67,27;78;69,93;78,48
521200;JAUPACI;80,95;141,94;80,95;111,11;85,71;74,29;128;85,29;79,41;104,76;86,11
521205;JESUPOLIS;78,79;69,7;83,78;110;133,33;116,67;123,08;100;113,64;48;94,74
521210;JOVIANIA;37,5;91,84;83,91;97,59;78,05;80,49;101,47;53,92;94,12;74,12;60,78
521220;JUSSARA;40,52;109,5;55,68;93,2;82,29;96,31;89,69;58,91;67,64;85,1;76,27
521225;LAGOA SANTA;80;115,79;123,81;166,67;138,89;138,89;45;66,67;133,33;210;281,82
521230;LEOPOLDO DE BULHOES;44,87;132,39;80;116,9;66,34;65,35;101,94;87,37;117,89;95,33;90,22
521250;LUZIANIA;38,93;110,74;96,02;75,17;67,98;76,18;77,39;45,68;73,92;78,99;83,62
521260;MAIRIPOTABA;84,62;461,54;100;155,56;108;116;100;56,67;80;85,71;82,14
521270;MAMBAI;51,61;157,3;92,79;121,43;103,54;115,93;86,73;72,36;78,05;95,33;101,61
521280;MARA ROSA;19,85;82,27;121,54;195,31;83,85;84,62;96,43;88;98,4;63,74;92,13
521290;MARZAGAO;100;116,67;94,12;93,75;153,33;103,33;91,18;73,68;86,84;100;85,37
521295;MATRINCHA;4;106,78;182,35;67,24;122,92;104,17;106,98;80;95,56;117,65;91,94
521300;MAURILANDIA;44,5;125,7;78,5;82,54;71,72;52,02;73,2;79,19;97,32;51,22;61,21
521305;MIMOSO DE GOIAS;60;166,67;173,33;153,33;135;150;95,45;105,88;205,88;79,17;111,11
521308;MINACU;53,7;102;102,24;111,24;78,4;74,83;69,59;59,4;61,95;88,71;75,14
521310;MINEIROS;29,62;129,39;165,92;263,35;76,03;66,19;77,64;47,4;73,49;58,66;76,94
521340;MOIPORA;23,53;180;84,62;412,5;125;43,75;15;340;300;106,25;118,75
521350;MONTE ALEGRE DE GOIAS;15,71;74,07;85,85;93,16;76,61;58,87;71,3;91,21;70,33;65,66;104,4
521370;MONTES CLAROS DE GOIAS;53,45;100,89;92,63;111,96;126,32;93,68;129,27;65,22;80,87;98,95;112,5
521375;MONTIVIDIU;57,69;121,48;115,61;99,38;89,29;87,76;94,41;74,25;67,66;89,36;114,38
521377;MONTIVIDIU DO NORTE;8,82;86,36;158,06;82,93;96,77;148,39;97,37;94,59;70,27;62;71,15
521380;MORRINHOS;43,4;105,11;99,65;91,28;92,13;90,43;104,06;73,46;93,52;85,28;87,88
521385;MORRO AGUDO DE GOIAS;22,73;157,14;180,56;113,33;108,33;104,17;77,78;123,81;157,14;100;71,88
521390;MOSSAMEDES;51,28;146,43;75;132,56;108,89;93,33;94,92;73,91;113,04;132,56;77,08
521400;MOZARLANDIA;52,68;124,77;79,91;101,57;111,4;101,04;97,74;46,12;48,4;48,52;83,27
521405;MUNDO NOVO;25;118,84;92,96;131,08;105,48;108,22;110,96;105,26;111,84;86,02;92,54
521410;MUTUNOPOLIS;45,65;86,54;38;67,86;74,07;87,04;74,24;80,43;117,39;94,44;94,12
521440;NAZARIO;50;140,85;112,5;74,53;95,79;98,95;85,87;80,41;26,8;121,18;98,94
521450;NEROPOLIS;41,14;134,35;112;102,31;103,29;100,88;88,07;50,69;82,45;69,96;86,48
521460;NIQUELANDIA;30,59;77,85;61,05;69,96;69,5;71,24;84,51;61,39;76,14;87,63;76,44
521470;NOVA AMERICA;57,14;250;236;93,94;107,41;103,7;125;111,11;148,15;127,59;57,14
521480;NOVA AURORA;65;87,5;120;79,17;141,18;123,53;75;36;36;116,67;228,57
521483;NOVA CRIXAS;25,39;87,93;106,67;84,88;126,92;89,1;95,09;79,27;90,85;83,52;94,94
521486;NOVA GLORIA;28,74;139,76;111,49;98,86;107,53;83,87;74,49;78,89;72,22;61,84;70,27
521487;NOVA IGUACU DE GOIAS;54,55;106,25;131,03;165,52;113,51;100;82,05;107,69;150;272,22;121,88
521490;NOVA ROMA;10,53;96,97;74,19;100;193,33;126,67;54,17;83,78;91,89;111,11;106,45
521500;NOVA VENEZA;24,44;114,74;82,14;110,47;80,58;109,71;90,72;93,75;90,18;138,37;87,63
521520;NOVO BRASIL;30;150;91,67;109,68;95,92;87,76;84,62;103,33;120;65,96;93,33
521523;NOVO GAMA;41,85;91,01;96,4;72,85;66,98;70,34;79,37;52,04;68,75;72,98;77,13
521525;NOVO PLANALTO;29,82;115,91;87,23;61,54;69,7;36,36;125;50,82;29,51;97,3;125,58
521530;ORIZONA;50,64;157,45;84,85;128,1;96,49;71,93;66,14;62,25;73,04;97,42;66,97
521540;OURO VERDE DE GOIAS;40;166,67;84,09;86;98,33;81,67;164,86;76,47;141,18;76,79;76,6
521550;OUVIDOR;39,06;101,79;122,92;105,88;100;91,18;90,41;102,67;104;101,19;82,61
521560;PADRE BERNARDO;26,23;120,55;79,07;83,42;80,13;81,7;85,68;59,91;57,11;50,59;75,79
521565;PALESTINA DE GOIAS;43,59;59,26;97,06;124,39;81,82;79,55;115,38;45,28;60,38;97,5;100
521570;PALMEIRAS DE GOIAS;51,28;142,32;117,88;28,75;88,2;68,63;82,35;80,69;46,78;73,95;71,88
521580;PALMELO;31,82;112,5;100;100;153,85;200;110;100;140;57,14;115
521590;PALMINOPOLIS;24,14;257,14;100;112,2;104,55;109,09;134,88;81,4;137,21;97,92;71,43
521600;PANAMA;33,33;59,38;127,27;161,9;82,5;65;93,1;107,69;115,38;185,19;86,67
521630;PARANAIGUARA;40,37;102,38;86,03;87,83;97,58;88,71;80;94,23;88,46;91,4;86,75
521640;PARAUNA;47,14;89,61;88,97;118,94;99,32;99,32;93,2;76,97;83,03;98,03;87,12
521645;PEROLANDIA;24,32;91,49;68,09;116,28;69,57;110,87;105,41;70,83;64,58;104,44;63,04
521680;PETROLINA DE GOIAS;44,32;161,9;86,46;114,61;91,76;107,06;88,89;89,74;105,13;85,71;94,87
521690;PILAR DE GOIAS;29,17;64,52;133,33;112;78,95;113,16;61,11;52,63;121,05;67,65;67,5
521710;PIRACANJUBA;34,06;114,03;108,29;92,19;113,66;98,68;106,57;72,24;122,86;95,32;91,1
521720;PIRANHAS;45,61;90,77;83,78;125,44;88,97;88,97;81,34;79,2;87,2;126,85;102,36
521730;PIRENOPOLIS;34,5;93,73;82,31;98,51;93,84;78,26;94,98;72,95;77,22;61,24;87
521740;PIRES DO RIO;43,52;97,41;81,79;105,2;108,73;94,08;89,88;76,15;83,18;105,44;100,91
521760;PLANALTINA;48,07;99,38;100,65;112,75;106,39;82,8;76,91;47,83;48,95;79,07;79,83
521770;PONTALINA;34,55;97,83;82,45;75,12;66,67;87,25;86,76;69,08;100;114,89;104,4
521800;PORANGATU;34,48;98,23;52,85;72,01;77,41;67,43;78,28;91,52;80,39;66,61;69,94
