modelo,MAE,RMSE,R2,MAPE_pct,sMAPE_pct,Pearson_r,Spearman_rho,Poisson_deviance
Poisson_GLM,0.05253,0.075445,-3.5105,304.32,184.94,0.1682,0.2749,0.099205
Random_Forest,0.05309,0.069955,-2.8779,236.64,184.32,0.2494,0.3074,0.100356
GradientBoosting,0.03222,0.075444,-3.5104,182.28,183.39,0.2514,0.3227,0.065235
XGBoost,0.011763,0.038674,-0.1852,117.5,186.85,0.3612,0.4521,0.038838
