municipio,cod_mun,date,y_true,pred_Poisson_GLM,pred_Random_Forest,pred_GradientBoosting,pred_XGBoost
ABADIA DE GOIAS,520005,2024-07-01,0.0,0.04031381436391096,0.0741464469397065,0.007302303181285838,0.00028195494
ABADIA DE GOIAS,520005,2024-08-01,0.0,0.0353981020237238,0.08173987648708687,0.006929956985059931,0.0034341807
ABADIA DE GOIAS,520005,2024-09-01,0.0,0.01067959492832033,0.028877783620142684,0.005685524213366008,0.00018891813
ABADIA DE GOIAS,520005,2024-10-01,0.0,0.055982852159967185,0.09845856452553736,0.006527935488878341,0.00072347483
ABADIA DE GOIAS,520005,2024-11-01,0.0,0.014012949148109645,0.014635292764461403,0.00267799318964293,0.00025261194
ABADIA DE GOIAS,520005,2024-12-01,0.0,0.01386395352210553,0.016650630155232226,0.0031938058838243805,4.910453e-05
ABADIANIA,520010,2024-07-01,0.0,0.0539711630044756,0.1127773869802697,0.03953431061028597,0.0015247188
ABADIANIA,520010,2024-08-01,0.0,0.046942663225334885,0.1644889159383747,0.08045858061350175,0.007827203
ABADIANIA,520010,2024-09-01,0.0,0.021063179117506513,0.04431859737079149,0.05667365002239979,0.0034845956
ABADIANIA,520010,2024-10-01,0.0,0.08199396312638524,0.1018769283526286,0.05060789342374379,0.0038275558
ABADIANIA,520010,2024-11-01,0.0,0.023335014153068552,0.042300385101310845,0.03785985892804154,0.001039522
ABADIANIA,520010,2024-12-01,0.0,0.016470176507234584,0.04993612035073297,0.022967770767852492,0.0009721747
ACREUNA,520013,2024-07-01,0.0,0.0732037572312364,0.09467728455716856,0.06152200721788977,0.013753043
ACREUNA,520013,2024-08-01,0.0,0.08050596610591179,0.14583157654869217,0.07187432248655336,0.01540137
ACREUNA,520013,2024-09-01,0.0,0.020906993373042207,0.0701849893637772,0.03736245179927083,0.00521039
ACREUNA,520013,2024-10-01,0.0,0.09528490580941465,0.05758777900720635,0.016477343686433846,0.003275437
ACREUNA,520013,2024-11-01,0.0,0.03215906460431932,0.026117228396740164,0.014089103753161851,0.0006490492
ACREUNA,520013,2024-12-01,0.0,0.025749718810928083,0.02638027437269849,0.00713326280781286,0.00041578562
AGUA FRIA DE GOIAS,520017,2024-07-01,0.0,0.048933883698415906,0.042054419038575715,0.02530337198115631,0.0015751633
AGUA FRIA DE GOIAS,520017,2024-08-01,0.0,0.03867554084550372,0.045157795441386116,0.026264142034716983,0.0037851864
AGUA FRIA DE GOIAS,520017,2024-09-01,0.0,0.026037250959640497,0.06823633095907775,0.07457539978757183,0.0041737934
AGUA FRIA DE GOIAS,520017,2024-10-01,0.0,0.04395148235782326,0.0355451384334438,0.020973711344959758,0.0016220885
AGUA FRIA DE GOIAS,520017,2024-11-01,0.0,0.024022971533959433,0.019840622750119066,0.00908374348530508,0.00030594188
AGUA FRIA DE GOIAS,520017,2024-12-01,0.0,0.03241457927213948,0.04070003463167854,0.019279642282058963,0.0027558217
AGUAS LINDAS DE GOIAS,520025,2024-07-01,0.0083121028373363,0.16255234420902226,0.07563151541967764,0.01650465386951228,0.0018251742
AGUAS LINDAS DE GOIAS,520025,2024-08-01,0.0082984797185155,0.14266284399749787,0.06997467538413259,0.012416854426548848,0.0025186467
