cod_mun,municipio,n_meses_teste,casos_reais_total,MAE_pred_Poisson_GLM,RMSE_pred_Poisson_GLM,vies_pred_Poisson_GLM,MAPE_pred_Poisson_GLM,MAE_pred_Random_Forest,RMSE_pred_Random_Forest,vies_pred_Random_Forest,MAPE_pred_Random_Forest,MAE_pred_GradientBoosting,RMSE_pred_GradientBoosting,vies_pred_GradientBoosting,MAPE_pred_GradientBoosting,MAE_pred_XGBoost,RMSE_pred_XGBoost,vies_pred_XGBoost,MAPE_pred_XGBoost
520710,DIORAMA,6,0.0,0.007290457873835351,0.00812529492879909,0.007290457873835351,,0.027103536031605716,0.03252270801219598,0.027103536031605716,,0.020636314926385915,0.030111421581736117,0.020636314926385915,,0.0006111234610500001,0.0008765719072382957,0.0006111234610500001,
520495,CAMPOS VERDES,6,0.0,0.00748059989148035,0.008037812580685989,0.00748059989148035,,0.020314038105792298,0.021237105796728713,0.020314038105792298,,0.006047718567808782,0.007482207319465311,0.006047718567808782,,0.00040256043413333334,0.0007255416890377056,0.00040256043413333334,
520810,FORMOSO,6,0.0,0.008326217142845633,0.008489660870195514,0.008326217142845633,,0.0186555455003715,0.022316784844516657,0.0186555455003715,,0.0029128684969580002,0.003498909029283101,0.0029128684969580002,,2.0551549405e-05,3.184595077196737e-05,2.0551549405e-05,
520260,AURILANDIA,6,0.0,0.008700981380121351,0.00989147173077364,0.008700981380121351,,0.037714530550149894,0.04735830297490929,0.037714530550149894,,0.0020119177804929,0.003258988864039295,0.0020119177804929,,0.00034810133518666675,0.000843347449801177,0.00034810133518666675,
521487,NOVA IGUACU DE GOIAS,6,0.0,0.010156571567214383,0.011188067994330362,0.010156571567214383,,0.02961483228625156,0.03192734537181346,0.02961483228625156,,0.010905915731023216,0.011326843013423843,0.010905915731023216,,0.0015758929173333334,0.0022185860949828656,0.0015758929173333334,
521960,SANTA TEREZA DE GOIAS,6,0.0,0.010239581212189016,0.01044215143333758,0.010239581212189016,,0.025695989187387233,0.02827777465967913,0.025695989187387233,,0.003876182121693016,0.0044280370766556654,0.003876182121693016,,4.8529428625000004e-05,8.677943713337959e-05,4.8529428625000004e-05,
520090,AMORINOPOLIS,6,0.0,0.010494840477809584,0.011710420640264856,0.010494840477809584,,0.027277244410892233,0.0376115875175901,0.027277244410892233,,0.0031968417568221832,0.00600305222667489,0.0031968417568221832,,0.0008505658241833334,0.001975628998714459,0.0008505658241833334,
521160,IVOLANDIA,6,0.0,0.010600018039679152,0.011811168547805713,0.010600018039679152,,0.025773235503368002,0.03418153415728213,0.025773235503368002,,0.008467915245726933,0.01444769580475391,0.008467915245726933,,0.000250931364475,0.0006076223334687429,0.000250931364475,
520750,ESTRELA DO NORTE,6,0.0,0.011215308363721,0.012077243845493428,0.011215308363721,,0.023306744907876348,0.02411559328343351,0.023306744907876348,,0.005893379513341751,0.00773553030676781,0.005893379513341751,,8.399053894333332e-06,1.701029227072225e-05,8.399053894333332e-06,
520235,ARENOPOLIS,6,0.0,0.011465527007304799,0.012660970241685282,0.011465527007304799,,0.02424058768068015,0.030413935420185417,0.02424058768068015,,0.013009398885041582,0.0213957985103063,0.013009398885041582,,0.00011065953817900001,0.0002613141146285317,0.00011065953817900001,
520552,COLINAS DO SUL,6,0.0,0.011891192932188365,0.012415414903950988,0.011891192932188365,,0.03372524743243325,0.0353271856330967,0.03372524743243325,,0.004346589031174067,0.004501602248748365,0.004346589031174067,,9.006873855000001e-05,0.00014114179348268536,9.006873855000001e-05,
520570,CORREGO DO OURO,6,0.0,0.012319419248541299,0.013921579834719288,0.012319419248541299,,0.026809203730154746,0.03390815108473489,0.026809203730154746,,0.002602386072957567,0.0045317106674062505,0.002602386072957567,,0.00013104376751666666,0.00030812532691172227,0.00013104376751666666,
