municipio,cod_mun,date,y_true,pred_Poisson_GLM,pred_Random_Forest,pred_GradientBoosting,pred_XGBoost
ABADIA DE GOIAS,520005,2024-07-01,0.0,0.019789086173224953,0.02002667925711715,0.0039325769818817306,0.00012636301
ABADIA DE GOIAS,520005,2024-08-01,0.0,0.015476136007726878,0.0346409047207877,0.008762102500964635,4.04892e-05
ABADIA DE GOIAS,520005,2024-09-01,0.0,0.0066067818514326535,0.019816426407852656,0.0034630710621665665,1.5882086e-05
ABADIA DE GOIAS,520005,2024-10-01,0.0,0.02181136189479372,0.02403403859652552,0.0062340772351209585,5.1738494e-05
ABADIA DE GOIAS,520005,2024-11-01,0.0,0.006206838591843855,0.014184567396655507,0.005818385180882429,5.9026897e-05
ABADIA DE GOIAS,520005,2024-12-01,0.0,0.006114195798681771,0.014038032702758843,0.0041280805574668905,1.9648358e-05
ABADIANIA,520010,2024-07-01,0.0,0.049700636104884004,0.04715188727514309,0.01007536457599747,0.0021104987
ABADIANIA,520010,2024-08-01,0.0,0.04432060082145536,0.04976498591834645,0.014949524737182068,0.0032606004
ABADIANIA,520010,2024-09-01,0.0,0.02658392457714889,0.02189829204851845,0.01467040563007101,0.00096418743
ABADIANIA,520010,2024-10-01,0.0,0.06737527394571613,0.03430721114415273,0.008007874256482481,0.0011364118
ABADIANIA,520010,2024-11-01,0.0,0.023498288992147905,0.026260860643766773,0.019341672452383215,0.0033830707
ABADIANIA,520010,2024-12-01,0.0,0.016697535155220346,0.022498985798228854,0.010106042614844792,0.001516769
ACREUNA,520013,2024-07-01,0.0,0.03992820333206914,0.03938612869435572,0.02164647807960883,0.0024097112
ACREUNA,520013,2024-08-01,0.0,0.03975635670389684,0.06405978752755995,0.014511695508038512,0.001941319
ACREUNA,520013,2024-09-01,0.0,0.013390886300327804,0.049242784595983476,0.01797286432298927,0.0031073045
ACREUNA,520013,2024-10-01,0.0,0.03859848016373768,0.03168536739038279,0.010602737985966781,0.0020300185
ACREUNA,520013,2024-11-01,0.0,0.014731864824423851,0.021105753155065222,0.011230927396479061,0.001245929
ACREUNA,520013,2024-12-01,0.0,0.011194189097568231,0.022259340168193177,0.005786097049585957,0.0029567752
AGUA FRIA DE GOIAS,520017,2024-07-01,0.0,0.01606996379511387,0.014997668509489186,0.0022694618413208033,2.4918363e-06
AGUA FRIA DE GOIAS,520017,2024-08-01,0.0,0.008657331284840742,0.01457595495478061,0.0021512600319351554,7.935687e-06
AGUA FRIA DE GOIAS,520017,2024-09-01,0.0,0.005544913124286359,0.02783707363952784,0.0017255214589157832,2.3634333e-05
AGUA FRIA DE GOIAS,520017,2024-10-01,0.0,0.014431151836644127,0.016775456199727604,0.0018192726354550757,3.7322854e-05
AGUA FRIA DE GOIAS,520017,2024-11-01,0.0,0.0018723742937558645,0.011343817780312822,0.0008783490838862,1.0881974e-05
AGUA FRIA DE GOIAS,520017,2024-12-01,0.0,0.00376440044511801,0.011610186482333983,0.0011771956678225772,5.619107e-05
AGUAS LINDAS DE GOIAS,520025,2024-07-01,0.0083121028373363,0.038348633070015715,0.024920161113661493,0.00411334420586768,0.000619449
AGUAS LINDAS DE GOIAS,520025,2024-08-01,0.0082984797185155,0.03257610673075439,0.026326516947946438,0.0034944682524104013,0.0004727505
AGUAS LINDAS DE GOIAS,520025,2024-09-01,0.0041424505909205,0.0628971346517343,0.12189543993341345,0.007385883898585441,0.00031804215
AGUAS LINDAS DE GOIAS,520025,2024-10-01,0.0,0.11928801947793614,0.06534693645577282,0.004936199267599675,0.0002844654
AGUAS LINDAS DE GOIAS,520025,2024-11-01,0.0041289384912032,0.04916245115856659,0.057230697171024275,0.0019863920270092386,0.0003664971
AGUAS LINDAS DE GOIAS,520025,2024-12-01,0.0123666463304038,0.048824851117872256,0.06657658493193873,0.0016551437736935077,0.00016676975
ALEXANIA,520030,2024-07-01,0.0,0.022537586730830998,0.039015935639191104,0.0035912403196557987,3.3141954e-05
ALEXANIA,520030,2024-08-01,0.0,0.024439259470880884,0.05537340456247122,0.004588421773089268,3.6794816e-05
ALEXANIA,520030,2024-09-01,0.0356531660011409,0.012960088024289067,0.017524991862416416,0.004096122536694353,1.6677206e-05
ALEXANIA,520030,2024-10-01,0.0,0.034068633278549296,0.03107854141260916,0.0029247939999135415,6.395478e-05
ALEXANIA,520030,2024-11-01,0.0,0.011750849893706302,0.027376661887104307,0.007175218323729829,0.00013449605
ALEXANIA,520030,2024-12-01,0.0,0.00782058125789258,0.024716826551917526,0.004934228079514524,9.7810735e-05
ALOANDIA,520050,2024-07-01,0.0,0.056182770554053574,0.01494688780032663,0.0009399720481233024,5.2033083e-06
ALOANDIA,520050,2024-08-01,0.0,0.04620150405734001,0.0342233231589544,0.0018684439491467619,1.0211064e-05
ALOANDIA,520050,2024-09-01,0.0,0.01782407043006305,0.02163170555912482,0.002102995232250602,1.0407634e-05
ALOANDIA,520050,2024-10-01,0.0,0.0558563140010371,0.02270166384178981,0.0017486356578341519,4.171039e-06
ALOANDIA,520050,2024-11-01,0.0,0.017858046352615186,0.013101454832144527,0.0006236787514761629,8.501178e-07
ALOANDIA,520050,2024-12-01,0.0,0.01648382408762502,0.012590187374010756,0.0007300172999003975,2.9726306e-07
ALTO HORIZONTE,520055,2024-07-01,0.0,0.002097259031462999,0.012109701837086066,0.0008244344867419624,3.943276e-06
ALTO HORIZONTE,520055,2024-08-01,0.0,0.0021097718226541257,0.014363424224980558,0.001166594638439927,1.0431164e-05
ALTO HORIZONTE,520055,2024-09-01,0.0,0.0013064681008812735,0.014344767083513807,0.0017910745389415623,6.357098e-06
ALTO HORIZONTE,520055,2024-10-01,0.0,0.0004157756352089134,0.014789766735954491,0.0016457834963073642,9.468923e-06
ALTO HORIZONTE,520055,2024-11-01,0.0,0.0008095014858389931,0.013471472366985777,0.001603057993407954,4.195275e-06
ALTO HORIZONTE,520055,2024-12-01,0.0,0.001831986163489669,0.009533248405810922,0.0006816572607408157,8.09774e-06
ALTO PARAISO DE GOIAS,520060,2024-07-01,0.0,0.03452708900915408,0.0369171729130687,0.00439071679872138,0.00024157098
ALTO PARAISO DE GOIAS,520060,2024-08-01,0.0,0.03342043652994989,0.0377809463540693,0.004753789199275989,5.365718e-05
ALTO PARAISO DE GOIAS,520060,2024-09-01,0.0,0.021864893505759927,0.04999163529490021,0.010279995462239925,0.00015012521
ALTO PARAISO DE GOIAS,520060,2024-10-01,0.0,0.029045253501429388,0.025646784167706868,0.0033759920194191017,7.542142e-05
