modelo,melhor_score_cv,param_alpha,param_max_iter,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_l2_regularization,param_learning_rate,param_max_leaf_nodes,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_subsample
Poisson_GLM,0.09959837,0.00012856389508052304,2000.0,,,,,,,,,,,,,
Random_Forest,0.10671882,,,600.0,10.0,10.0,log2,12.0,,,,,,,,
GradientBoosting,0.08035942,,800.0,,,10.0,,8.0,0.0008923807143379785,0.11903203173999202,31.0,,,,,
XGBoost,0.07686018,,,600.0,,,,5.0,,0.1333535316674426,,0.8688542189623514,1.0,1.0368090560355396,0.8721702504470866,0.9933692563579372
