cod_mun,municipio,n_meses_teste,casos_reais_total,MAE_pred_Poisson_GLM,RMSE_pred_Poisson_GLM,vies_pred_Poisson_GLM,MAPE_pred_Poisson_GLM,MAE_pred_Random_Forest,RMSE_pred_Random_Forest,vies_pred_Random_Forest,MAPE_pred_Random_Forest,MAE_pred_GradientBoosting,RMSE_pred_GradientBoosting,vies_pred_GradientBoosting,MAPE_pred_GradientBoosting,MAE_pred_XGBoost,RMSE_pred_XGBoost,vies_pred_XGBoost,MAPE_pred_XGBoost
520055,ALTO HORIZONTE,6,0.0,0.0014284603732559334,0.0015674196856066834,0.0014284603732559334,,0.013102063442388548,0.01322765896228707,0.013102063442388548,,0.0012854337357632167,0.001353491666362579,0.0012854337357632167,,7.082246e-06,7.50117247726236e-06,7.082246e-06,
521470,NOVA AMERICA,6,0.0,0.002334358075707683,0.0024925880558261523,0.002334358075707683,,0.014217942702373082,0.01467026176542588,0.014217942702373082,,0.0010792665456230833,0.001402029385798941,0.0010792665456230833,,4.383337055e-06,7.569547781741443e-06,4.383337055e-06,
520495,CAMPOS VERDES,6,0.0,0.0025552335393128336,0.002698140877304129,0.0025552335393128336,,0.014505609762548317,0.015052459436430469,0.014505609762548317,,0.001808696946886933,0.0026292917722862985,0.001808696946886933,,0.0004017867298,0.0006860338095912689,0.0004017867298,
520830,DIVINOPOLIS DE GOIAS,6,0.0,0.003674953982979533,0.003799929401046571,0.003674953982979533,,0.0246118489104017,0.025298936440577027,0.0246118489104017,,0.009228709220672749,0.010387265612431158,0.009228709220672749,,0.0007386978433333334,0.0008580937882671232,0.0007386978433333334,
521225,LAGOA SANTA,6,0.0,0.004047617022007333,0.004553203102811669,0.004047617022007333,,0.024532826492362433,0.02917873472728899,0.024532826492362433,,0.0013328874956275835,0.0014009333729615983,0.0013328874956275835,,2.527363633333333e-06,2.606787249343267e-06,2.527363633333333e-06,
521295,MATRINCHA,6,0.0,0.004139677098244,0.004549967496111299,0.004139677098244,,0.01515335041099925,0.01649921619336186,0.01515335041099925,,0.0017396576425117332,0.002079118956316428,0.0017396576425117332,,1.0426334043333331e-06,2.1194219163050617e-06,1.0426334043333331e-06,
520990,IACIARA,6,0.0,0.006132346469150267,0.006522116146812844,0.006132346469150267,,0.013544110954929583,0.01405206245391749,0.013544110954929583,,0.0019211669178247001,0.001956526675665387,0.0019211669178247001,,1.12508999e-05,1.3396922974650501e-05,1.12508999e-05,
521400,MOZARLANDIA,6,0.0,0.00675388127261455,0.007372575117089685,0.00675388127261455,,0.014652093028058833,0.015179975404431214,0.014652093028058833,,0.0029893225601708667,0.0033421602263546163,0.0029893225601708667,,4.129086101333333e-05,6.257902847573171e-05,4.129086101333333e-05,
520380,BRITANIA,6,0.0,0.006763049703284683,0.0073926178994486265,0.006763049703284683,,0.019171112521188634,0.021393921008904478,0.019171112521188634,,0.0016130443258546335,0.0017708711639401508,0.0016130443258546335,,6.051716766666667e-06,8.2118064424246e-06,6.051716766666667e-06,
520960,HEITORAI,6,0.0,0.007272908754589367,0.007788991998858535,0.007272908754589367,,0.01801764158865058,0.019782689239536015,0.01801764158865058,,0.0036028767386300504,0.00423075581777393,0.0036028767386300504,,6.721529066666668e-05,0.00010496594834000452,6.721529066666668e-05,
