modelo,MAE,RMSE,R2,MAPE_pct,Pearson_r,Spearman_rho,MAE_cv
Poisson_GLM,0.02756,0.04705,0.0094,93.94,0.1919,0.3127,0.030915
Random_Forest,0.02933,0.04598,0.0539,80.43,0.3187,0.3064,0.03174
GradientBoosting,0.01975,0.04457,0.111,70.34,0.3735,0.3469,0.021759
XGBoost,0.01833,0.04359,0.1497,70.25,0.4224,0.3739,0.021247
