model,feature,importance
Poisson_GLM,baseline_srag_municipio,0.382584
Poisson_GLM,year_trend,0.259203
Poisson_GLM,month_sin,0.036603
Poisson_GLM,month_cos,0.136913
Poisson_GLM,fase_covid,0.339384
Poisson_GLM,meteo_temp_media,0.03386
Poisson_GLM,meteo_temp_min,0.128867
Poisson_GLM,meteo_temp_max,0.118402
Poisson_GLM,meteo_temp_amplitude,0.00451
Poisson_GLM,meteo_precipitacao,0.043865
Poisson_GLM,meteo_umidade,0.133474
Poisson_GLM,fogo_pct_territorio,0.012361
Poisson_GLM,mapbiomas_pct_farming,0.003594
Poisson_GLM,mapbiomas_pct_forest,0.028843
Poisson_GLM,mapbiomas_pct_non_forest_natural,0.052218
Poisson_GLM,mapbiomas_pct_non_vegetated,0.06091
Poisson_GLM,mapbiomas_pct_water,0.050765
Random_Forest,baseline_srag_municipio,0.205251
Random_Forest,year_trend,0.100324
Random_Forest,month_sin,0.006717
Random_Forest,month_cos,0.013237
Random_Forest,fase_covid,0.086278
Random_Forest,meteo_temp_media,0.034946
Random_Forest,meteo_temp_min,0.044601
Random_Forest,meteo_temp_max,0.063041
Random_Forest,meteo_temp_amplitude,0.031415
Random_Forest,meteo_precipitacao,0.013255
Random_Forest,meteo_umidade,0.016067
Random_Forest,fogo_pct_territorio,0.052153
Random_Forest,mapbiomas_pct_farming,0.072153
Random_Forest,mapbiomas_pct_forest,0.031999
Random_Forest,mapbiomas_pct_non_forest_natural,0.042998
Random_Forest,mapbiomas_pct_non_vegetated,0.117348
Random_Forest,mapbiomas_pct_water,0.068218
XGBoost,baseline_srag_municipio,0.09650799632072449
XGBoost,year_trend,0.24332299828529358
XGBoost,month_sin,0.03007899969816208
XGBoost,month_cos,0.03744399920105934
XGBoost,fase_covid,0.23265700042247772
XGBoost,meteo_temp_media,0.03113199956715107
XGBoost,meteo_temp_min,0.05300699919462204
XGBoost,meteo_temp_max,0.02807999961078167
XGBoost,meteo_temp_amplitude,0.022206999361515045
XGBoost,meteo_precipitacao,0.021689999848604202
XGBoost,meteo_umidade,0.025126999244093895
XGBoost,fogo_pct_territorio,0.025133000686764717
XGBoost,mapbiomas_pct_farming,0.02930700033903122
XGBoost,mapbiomas_pct_forest,0.03354300186038017
XGBoost,mapbiomas_pct_non_forest_natural,0.02514900080859661
XGBoost,mapbiomas_pct_non_vegetated,0.04048199951648712
XGBoost,mapbiomas_pct_water,0.025131000205874443
