feature,grupo,selecionada,corr_target
mapbiomas_pct_farming,opcional,True,0.0116
mapbiomas_pct_forest,opcional,True,0.0404
mapbiomas_pct_non_forest_natural,opcional,True,0.0284
mapbiomas_pct_non_vegetated,opcional,True,0.0801
mapbiomas_pct_water,opcional,True,0.0297
fogo_pct_territorio,obrigatoria,True,0.0409
meteo_temp_media,obrigatoria,True,0.1084
meteo_temp_min,obrigatoria,True,0.1018
meteo_temp_max,obrigatoria,True,0.1078
meteo_temp_amplitude,obrigatoria,True,0.011
meteo_precipitacao,obrigatoria,True,0.044
meteo_umidade,obrigatoria,True,0.0446
month_sin,obrigatoria,True,0.0802
month_cos,obrigatoria,True,0.107
fase_covid,obrigatoria,True,0.1892
baseline_srag_municipio,obrigatoria,True,0.2049
year_trend,obrigatoria,True,0.1809
