cod_mun,municipio,populacao,baseline_srag_municipio,year_trend,month_sin,month_cos,fase_covid,meteo_temp_media,meteo_temp_min,meteo_temp_max,meteo_temp_amplitude,meteo_precipitacao,meteo_umidade,fogo_pct_territorio,mapbiomas_pct_forest,mapbiomas_pct_non_forest_natural,mapbiomas_pct_non_vegetated,mapbiomas_pct_water,taxa_GradientBoosting,casos_GradientBoosting,taxa_Poisson_GLM,casos_Poisson_GLM,taxa_Random_Forest,casos_Random_Forest,taxa_XGBoost,casos_XGBoost,taxa_predita,casos_esperados,rank_risco
521450,NEROPOLIS,28760.0,0.342943664560462,1.0,0.0,0.0,2.0,25.945138888888888,17.115000000000002,32.67,17.955,2.38,51.63777777777778,1.4205,23.681541666666664,0.1321,3.9323833333333327,1.7914166666666667,0.2974200691719763,8554,0.07538480648343328,2168,0.2349474969069358,6757,0.14934915,4295,0.2974200691719763,8554,1
520870,GOIANIA,1439700.0,0.3391146771355097,1.0,0.0,0.0,2.0,25.945138888888888,17.115000000000002,32.67,17.955,2.38,51.63777777777778,1.2181,16.583458333333333,0.6034208333333333,41.216350000000006,1.0566,0.15281323029512525,220005,0.06456221852561217,92950,0.16792586659215916,241763,0.11172828,160855,0.15281323029512525,220005,2
520110,ANAPOLIS,380325.0,0.2415520118209079,1.0,0.0,0.0,2.0,24.767083333333332,15.465,31.490000000000002,17.96,2.3722222222222222,52.89222222222222,1.113,22.03050833333333,0.1003708333333333,12.715204166666666,0.23384166666666667,0.11503960936963484,43752,0.032376753316721664,12314,0.1181133368557192,44921,0.07616003,28966,0.11503960936963484,43752,3
520450,CALDAS NOVAS,86872.0,0.2592786746606659,1.0,0.0,0.0,2.0,26.696805555555557,17.39,33.515,18.244999999999997,2.230277777777778,51.24444444444445,0.048,33.490345833333336,0.2796458333333333,3.294220833333333,2.3184,0.0832961029365746,7236,0.027295677726677632,2371,0.0963657534242765,8371,0.08433737,7327,0.0832961029365746,7236,4
520140,APARECIDA DE GOIANIA,516323.0,0.2094716791131582,1.0,0.0,0.0,2.0,26.372916666666665,17.115000000000002,33.335,18.784999999999997,2.4120833333333334,51.36333333333334,0.4784,17.375445833333334,2.2654916666666667,49.05973333333333,0.06967083333333329,0.07198242175619093,37166,0.020864718858253566,10773,0.0939128556659976,48489,0.0813917,42024,0.07198242175619093,37166,5
521150,ITUMBIARA,103773.0,0.4580421362721112,1.0,0.0,0.0,2.0,27.416805555555555,17.634999999999998,34.239999999999995,19.485,2.0805555555555557,49.45,2.5893,11.7773875,1.6904124999999999,1.7151666666666667,4.2966,0.07088563539739161,7356,0.141508997615826,14685,0.21092992662111382,21889,0.09963213,10339,0.07088563539739161,7356,6
522160,URUACU,41281.0,0.3701707882059129,1.0,0.0,0.0,2.0,28.62027777777778,19.25,35.19499999999999,18.215,2.243888888888889,48.885555555555555,1.634,38.688429166666666,0.2343,0.9815,7.677945833333334,0.06573894090255038,2714,0.03397975733095305,1403,0.16167308912473544,6674,0.07443778,3073,0.06573894090255038,2714,7
521000,INHUMAS,51925.0,0.1299505094870701,1.0,0.0,0.0,2.0,25.945138888888888,17.115000000000002,32.67,17.955,2.38,51.63777777777778,0.7646,15.226404166666665,0.066375,2.6237,0.30036666666666667,0.050515099577417434,2623,0.011657649841655427,605,0.04762265980110374,2473,0.049865995,2589,0.050515099577417434,2623,8
521020,IPORA,34495.0,0.2243252924370907,1.0,0.0,0.0,2.0,27.624861111111112,18.205,33.620000000000005,17.97,2.156388888888889,48.9288888888889,0.7809,24.428325,0.050629166666666656,1.84945,0.23552916666666662,0.04816892629923673,1662,0.012622138153121366,435,0.06620262103110502,2284,0.044791464,1545,0.04816892629923673,1662,9
521190,JATAI,100748.0,0.2653211795640965,1.0,0.0,0.0,2.0,26.270833333333332,16.325000000000003,32.900000000000006,19.915,1.9716666666666667,50.861111111111114,0.4347,17.3891875,3.9827541666666666,0.5875375,0.1954,0.047943593564073225,4830,0.03299769937928142,3324,0.054392545290575155,5480,0.056893602,5732,0.047943593564073225,4830,10
