modelo,MAE,RMSE,R2,MAPE_pct,sMAPE_pct,Pearson_r,Spearman_rho,Poisson_deviance
Poisson_GLM,0.030704,0.058955,-2.5633,316.9,189.39,0.3046,0.3774,0.057478
Random_Forest,0.0281,0.044744,-1.0524,219.52,188.31,0.3945,0.4138,0.052526
GradientBoosting,0.013028,0.030581,0.0412,93.83,187.3,0.4228,0.4116,0.027919
XGBoost,0.007352,0.029767,0.0916,94.28,190.33,0.4065,0.4396,0.032785
