variavel,coeficiente_padronizado,IRR_aprox
has_uti,0.2377176196441052,1.268350984849342
cadunico_pct_pop,-0.21485965506116372,0.8066546421298922
cobertura_aps,-0.10368552782223793,0.9015087522701349
meteo_temp_media,-0.06512751263210288,0.9369479830564772
meteo_temp_amplitude,0.06432396032502835,1.0664378263509142
meteo_temp_min,-0.0562428220173527,0.9453095660433681
pct_pop_60mais,-0.04524174269136316,0.9557664043606755
mapbiomas_pct_water,0.0427925964319189,1.0437214008579547
mapbiomas_pct_forest,-0.03989574300654301,0.9608896133924363
pib_per_capita,-0.029645686089760644,0.970789436821433
mapbiomas_pct_non_vegetated,0.028719186150936115,1.029135558377004
meteo_umidade,-0.024517921428786782,0.9757802013863164
fogo_pct_territorio,0.02377221180758156,1.0240570232224917
caged_taxa_pop,0.023481220571661375,1.023759074955921
mapbiomas_pct_non_forest_natural,-0.023444005019499444,0.9768286706398445
mapbiomas_pct_farming,0.02328068857381345,1.0235537990861832
meteo_precipitacao,-0.01781318403123658,0.982344532862921
pct_pop_menor12,-0.01544418890233203,0.9846744609807038
meteo_temp_max,0.012677764916975224,1.012758468464876
