variavel,importancia
cadunico_pct_pop,0.6508244953644758
meteo_temp_media,0.5700461801501031
meteo_umidade,0.2968079898264474
mapbiomas_pct_farming,0.28004855192727607
mapbiomas_pct_non_vegetated,0.2720901922502571
pib_per_capita,0.23759527294743982
mapbiomas_pct_water,0.221388672581541
mapbiomas_pct_forest,0.21414043448646436
pct_pop_60mais,0.14061734877544083
has_uti,0.1262324661491125
meteo_temp_min,0.068097738037455
mapbiomas_pct_non_forest_natural,0.06554999256836738
meteo_temp_max,0.063758626178303
meteo_precipitacao,0.027498472059636802
caged_taxa_pop,0.015861621536304837
fogo_pct_territorio,0.010597598076778514
meteo_temp_amplitude,0.006743008606888479
cobertura_aps,-0.0025164134813243865
pct_pop_menor12,-0.0586394414493131
