modelo,MAE,RMSE,R2,MAPE_pct,Pearson_r,Spearman_rho,MAE_cv
Poisson_GLM,0.01348,0.02787,0.0453,133.32,0.4266,0.465,0.009497
Random_Forest,0.01123,0.02556,0.1971,122.32,0.4986,0.5063,0.008463
GradientBoosting,0.01213,0.02854,-0.0011,110.84,0.4246,0.4701,0.009121
XGBoost,0.01071,0.02539,0.2078,91.37,0.516,0.4973,0.007963
