model,feature,importance
Poisson_GLM,baseline_srag_municipio,0.493212
Poisson_GLM,year_trend,0.214959
Poisson_GLM,month_sin,0.044136
Poisson_GLM,month_cos,0.082695
Poisson_GLM,fase_covid,0.24362
Poisson_GLM,meteo_temp_media,0.09949
Poisson_GLM,meteo_temp_min,0.11984
Poisson_GLM,meteo_temp_max,0.110657
Poisson_GLM,meteo_temp_amplitude,0.000222
Poisson_GLM,meteo_precipitacao,0.031546
Poisson_GLM,meteo_umidade,0.075708
Poisson_GLM,fogo_pct_territorio,0.018299
Poisson_GLM,mapbiomas_pct_forest,0.060145
Poisson_GLM,mapbiomas_pct_non_forest_natural,0.019483
Poisson_GLM,mapbiomas_pct_non_vegetated,0.080796
Poisson_GLM,mapbiomas_pct_water,0.04365
Random_Forest,baseline_srag_municipio,0.332936
Random_Forest,year_trend,0.050442
Random_Forest,month_sin,0.006761
Random_Forest,month_cos,0.007063
Random_Forest,fase_covid,0.044971
Random_Forest,meteo_temp_media,0.040341
Random_Forest,meteo_temp_min,0.042077
Random_Forest,meteo_temp_max,0.054287
Random_Forest,meteo_temp_amplitude,0.02846
Random_Forest,meteo_precipitacao,0.014012
Random_Forest,meteo_umidade,0.025475
Random_Forest,fogo_pct_territorio,0.046906
Random_Forest,mapbiomas_pct_forest,0.048238
Random_Forest,mapbiomas_pct_non_forest_natural,0.034298
Random_Forest,mapbiomas_pct_non_vegetated,0.155435
Random_Forest,mapbiomas_pct_water,0.068299
XGBoost,baseline_srag_municipio,0.20290200412273407
XGBoost,year_trend,0.12384100258350372
XGBoost,month_sin,0.029455000534653664
XGBoost,month_cos,0.025053000077605247
XGBoost,fase_covid,0.29507899284362793
XGBoost,meteo_temp_media,0.044110000133514404
XGBoost,meteo_temp_min,0.030276000499725342
XGBoost,meteo_temp_max,0.023661000654101372
XGBoost,meteo_temp_amplitude,0.020337000489234924
XGBoost,meteo_precipitacao,0.024681000038981438
XGBoost,meteo_umidade,0.020654000341892242
XGBoost,fogo_pct_territorio,0.026093000546097755
XGBoost,mapbiomas_pct_forest,0.032607000321149826
XGBoost,mapbiomas_pct_non_forest_natural,0.03319599851965904
XGBoost,mapbiomas_pct_non_vegetated,0.041228998452425
XGBoost,mapbiomas_pct_water,0.026823999360203743
