model,feature,importance
Poisson_GLM,baseline_srag_municipio,0.372244
Poisson_GLM,year_trend,0.253529
Poisson_GLM,month_sin,0.034886
Poisson_GLM,month_cos,0.137769
Poisson_GLM,fase_covid,0.333841
Poisson_GLM,meteo_temp_media,0.037278
Poisson_GLM,meteo_temp_min,0.123321
Poisson_GLM,meteo_temp_max,0.120245
Poisson_GLM,meteo_temp_amplitude,0.002701
Poisson_GLM,meteo_precipitacao,0.045887
Poisson_GLM,meteo_umidade,0.13195
Poisson_GLM,fogo_pct_territorio,0.023481
Poisson_GLM,pct_pop_60mais,0.082581
Poisson_GLM,pib_per_capita,0.063217
Poisson_GLM,cadunico_pct_pop,0.063386
Poisson_GLM,caged_taxa_pop,0.038565
Poisson_GLM,cobertura_aps,0.000526
Poisson_GLM,mapbiomas_pct_farming,0.015801
Poisson_GLM,mapbiomas_pct_forest,0.004877
Poisson_GLM,mapbiomas_pct_non_forest_natural,0.054062
Poisson_GLM,mapbiomas_pct_non_vegetated,0.063582
Poisson_GLM,mapbiomas_pct_water,0.059365
Random_Forest,baseline_srag_municipio,0.101459
Random_Forest,year_trend,0.038463
Random_Forest,month_sin,0.01218
Random_Forest,month_cos,0.015018
Random_Forest,fase_covid,0.03274
Random_Forest,meteo_temp_media,0.034504
Random_Forest,meteo_temp_min,0.040452
Random_Forest,meteo_temp_max,0.049025
Random_Forest,meteo_temp_amplitude,0.034171
Random_Forest,meteo_precipitacao,0.020961
Random_Forest,meteo_umidade,0.032504
Random_Forest,fogo_pct_territorio,0.039518
Random_Forest,pct_pop_60mais,0.06276
Random_Forest,pib_per_capita,0.066939
Random_Forest,cadunico_pct_pop,0.061163
Random_Forest,caged_taxa_pop,0.035478
Random_Forest,cobertura_aps,0.060484
Random_Forest,mapbiomas_pct_farming,0.051035
Random_Forest,mapbiomas_pct_forest,0.041586
Random_Forest,mapbiomas_pct_non_forest_natural,0.04015
Random_Forest,mapbiomas_pct_non_vegetated,0.074854
Random_Forest,mapbiomas_pct_water,0.054556
XGBoost,baseline_srag_municipio,0.052358999848365784
XGBoost,year_trend,0.18364199995994568
XGBoost,month_sin,0.024197999387979507
XGBoost,month_cos,0.027581999078392982
XGBoost,fase_covid,0.3409309983253479
XGBoost,meteo_temp_media,0.021250000223517418
XGBoost,meteo_temp_min,0.03391699865460396
XGBoost,meteo_temp_max,0.019825000315904617
XGBoost,meteo_temp_amplitude,0.01371499989181757
XGBoost,meteo_precipitacao,0.020639000460505486
XGBoost,meteo_umidade,0.019446000456809998
XGBoost,fogo_pct_territorio,0.019706999883055687
XGBoost,pct_pop_60mais,0.024898000061511993
XGBoost,pib_per_capita,0.02879899926483631
XGBoost,cadunico_pct_pop,0.021852999925613403
XGBoost,caged_taxa_pop,0.018201999366283417
XGBoost,cobertura_aps,0.020639000460505486
XGBoost,mapbiomas_pct_farming,0.01940999925136566
XGBoost,mapbiomas_pct_forest,0.022847000509500504
XGBoost,mapbiomas_pct_non_forest_natural,0.02005700021982193
XGBoost,mapbiomas_pct_non_vegetated,0.02396400086581707
XGBoost,mapbiomas_pct_water,0.022120999172329903
