model,MAE_cv,param_alpha,param_max_iter,param_n_estimators,param_min_samples_leaf,param_max_features,param_max_depth,param_l2_regularization,param_learning_rate,param_colsample_bytree,param_reg_alpha,param_subsample
Poisson_GLM,0.031151,0.14585475436207385,2000.0,,,,,,,,,
Random_Forest,0.031207,,,600.0,3.0,sqrt,8.0,,,,,
GradientBoosting,0.021333,,200.0,,5.0,,4.0,0.07726718477963429,0.24341994231042283,,,
XGBoost,0.021175,,,600.0,,,4.0,,0.02207148196910116,0.9895022075365837,0.12357483710912165,0.7529847965068651
