modelo,MAE,RMSE,R2,MAPE_pct,Pearson_r,Spearman_rho,MAE_cv
Poisson_GLM,0.02794,0.04711,0.0069,91.74,0.1993,0.3035,0.031151
Random_Forest,0.0297,0.04725,0.001,76.51,0.3244,0.2958,0.031207
GradientBoosting,0.01873,0.04714,0.0057,79.61,0.2976,0.4112,0.021333
XGBoost,0.01746,0.04339,0.1576,65.78,0.4118,0.4112,0.021175
