,median
pct_pop_60mais,15.8
pct_pop_menor12,15.2
pib_per_capita,35906.1152200702
cadunico_pct_pop,44.28839574233264
caged_taxa_pop,0.7029162582381197
cobertura_aps,113.83
mapbiomas_pct_farming,72.8778625
mapbiomas_pct_forest,23.383425
mapbiomas_pct_non_forest_natural,0.552125
mapbiomas_pct_non_vegetated,0.6868875
mapbiomas_pct_water,0.37550833333333333
fogo_pct_territorio,0.2519
meteo_temp_media,24.78
meteo_temp_min,17.54
meteo_temp_max,33.83
meteo_temp_amplitude,17.89
meteo_precipitacao,2.6
meteo_umidade,67.3
month_sin,0.25
month_cos,-6.123233995736762e-17
fase_covid,2.0
baseline_srag_municipio,0.0747505546730914
year_trend,0.74999999990625
